id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
2,Create account page,boundary,1,2,Login to tripplanner,Login to tripplanner - Android,
3,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
4,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android,
5,Account,entity,2,1,Login to tripplanner,Login to tripplanner - Android,
6,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
7,Create an account,control,1,1,Login to tripplanner,Login to tripplanner - Android,
8,start auth session,control,1,1,Login to tripplanner,Login to tripplanner - Android,
9,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
10,Email password,control,1,1,Login to tripplanner,Login to tripplanner - Android,
11,Retrieve account info,control,2,1,Login to tripplanner,Login to tripplanner - Android,
12,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
13,Account,entity,2,1,Login to tripplanner,Login to tripplanner - Android,
14,Login main page,boundary,3,4,Login to tripplanner,Login to tripplanner - Android,
15,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
16,Display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
17,Main page,boundary,1,1,Login to tripplanner,Login to tripplanner - Android,
18,Start auth session,control,1,1,Login to tripplanner,Login to tripplanner - Android,
19,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android,
20,Previous page (any page),boundary,0,1,Login to tripplanner,Login to tripplanner - Android,
21,Validate/check,control,1,1,Login to tripplanner,Login to tripplanner - Android,
22,Display,control,1,2,Login to tripplanner,Login to tripplanner - Android,
23,Account,entity,1,1,Login to tripplanner,Login to tripplanner - Android,
24,Traveler,actor,2,0,Login to tripplanner,Login to tripplanner - Android,
25,Retrieve account info,control,1,1,Login to tripplanner,Login to tripplanner - Android,
26,Forget password page,boundary,2,1,Login to tripplanner,Login to tripplanner - Android,
27,display,control,1,1,Login to tripplanner,Login to tripplanner - Android,
28,Previous page,boundary,0,2,Login to tripplanner,Login to tripplanner - Android,
