id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Display locked account message,control,0,1,Admin Login,Admin Login,
2,Display Home Page,control,1,1,Admin Login,Admin Login,
3,Partner Info,entity,1,1,Admin Login,Admin Login,
4,display partner list,control,1,1,Admin Login,Admin Login,
5,Admin home page,boundary,0,2,Admin Login,Admin Login,
6,Validate user,control,3,2,Admin Login,Admin Login,
7,Display Password Reset Page,control,2,1,Admin Login,Admin Login,
8,Enter username and password,control,2,1,Admin Login,Admin Login,
9,Display Invalid Email Message,control,2,1,Admin Login,Admin Login,
10,Display login page,control,1,0,Admin Login,Admin Login,
11,Display Invalid Username Password Message,control,1,1,Admin Login,Admin Login,
12,Admin password reset page,boundary,1,1,Admin Login,Admin Login,
13,Enter email address,control,1,2,Admin Login,Admin Login,
14,Administrator,actor,1,0,Admin Login,Admin Login,
15,Admin Login Page,boundary,4,2,Admin Login,Admin Login,
