id,attribute,type,element
1,appInfoView,AppInfoView,AllTheAppsLayout
2,floatView,AppInfoCacheView:appInfoView,AllTheAppsLayout
3,undefined,AppPagesManagerState,AppPagesManager
4,state,AppPagesManagerState,AllTheAppsActivity
5,appsLayout,AppsLayout,AppsLayoutPageAdapter
6,undefined,AppInfo,AppsLayoutPageAdapter
7,appsPageScroller,AppsPageScroller,AppsPanel
8,listener,GestureListener,HorizontallySwipeableLayout
9,gestureDetector,GestureDetector:listener,HorizontallySwipeableLayout
10,leftFrame,Frame,HorizontallySwipeableLayout
11,detector,HorizontallySwipeDetector:gestureDetector,HorizontallySwipeableLayout
12,undefined,HorizontallyScrollingManipulator:detector,HorizontallySwipeableLayout
