id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Error message,boundary,0,2,Authorize tour creator,Authorize tour creator
2,send error message if not successful,control,1,1,Authorize tour creator,Authorize tour creator
3,change user file,control,2,1,Authorize tour creator,Authorize tour creator
4,user info,entity,0,2,Authorize tour creator,Authorize tour creator
5,retrieve user profile,control,2,0,Authorize tour creator,Authorize tour creator
6,users list,boundary,1,2,Authorize tour creator,Authorize tour creator
7,Owner,actor,2,0,Authorize tour creator,Authorize tour creator
8,delete tour,control,1,1,Delete irrelevant tours,Delete irrelevant tours
9,tours,entity,0,2,Delete irrelevant tours,Delete irrelevant tours
10,retrieve tours,control,2,0,Delete irrelevant tours,Delete irrelevant tours
11,List of tours,boundary,1,2,Delete irrelevant tours,Delete irrelevant tours
12,Owner,actor,1,0,Delete irrelevant tours,Delete irrelevant tours
13,redirect to sign up page,control,1,1,Creator log in and register,Creator log in and register
14,redirect to login page,control,1,1,Creator log in and register,Creator log in and register
15,sign up error message,boundary,1,2,Creator log in and register,Creator log in and register
16,save user info,control,1,1,Creator log in and register,Creator log in and register
17,process login info,control,2,1,Creator log in and register,Creator log in and register
18,register page,boundary,1,2,Creator log in and register,Creator log in and register
19,login error,boundary,1,2,Creator log in and register,Creator log in and register
20,User Info,entity,0,2,Creator log in and register,Creator log in and register
21,check login Info,control,2,1,Creator log in and register,Creator log in and register
22,Login page,boundary,1,2,Creator log in and register,Creator log in and register
23,Creator,actor,4,0,Creator log in and register,Creator log in and register
24,tour info error,boundary,0,2,Upload tours,Upload tours
25,tour info,entity,0,1,Upload tours,Upload tours
26,process tour,control,2,1,Upload tours,Upload tours
27,tour info page,boundary,1,1,Upload tours,Upload tours
28,Creator,actor,2,0,Upload tours,Upload tours
29,retrieve nearby tours,control,2,1,Search for a tour,Search for a tour
30,list of tours,boundary,0,3,Search for a tour,Search for a tour
31,tour info,entity,0,2,Search for a tour,Search for a tour
32,retrieve tour,control,3,1,Search for a tour,Search for a tour
33,tour search criteria page,boundary,1,1,Search for a tour,Search for a tour
34,taker,actor,2,0,Search for a tour,Search for a tour
35,check internet connection,control,2,1,View a particular stop,View a particular stop
36,empty map view,boundary,0,3,View a particular stop,View a particular stop
37,stop info,boundary,0,2,View a particular stop,View a particular stop
38,tour info,entity,0,1,View a particular stop,View a particular stop
39,retrieve tour,control,3,1,View a particular stop,View a particular stop
40,list of stops,boundary,1,1,View a particular stop,View a particular stop
41,Taker,actor,3,0,View a particular stop,View a particular stop
42,Popup for reenter tour info,boundary,0,2,Update tour,Update tour
43,tour info,entity,0,1,Update tour,Update tour
44,check update information,control,2,1,Update tour,Update tour
45,tour detail page,boundary,1,1,Update tour,Update tour
46,Creator,actor,2,0,Update tour,Update tour
47,Update error message,boundary,0,2,Creator modify tour details,Creator modify tour details
48,update error,control,1,1,Creator modify tour details,Creator modify tour details
49,Information invalidity error,boundary,0,2,Creator modify tour details,Creator modify tour details
50,tour detail info,entity,0,1,Creator modify tour details,Creator modify tour details
51,update tour detail,control,2,1,Creator modify tour details,Creator modify tour details
52,check tour detail,control,2,1,Creator modify tour details,Creator modify tour details
53,Tour detail,boundary,1,1,Creator modify tour details,Creator modify tour details
54,Creator,actor,3,0,Creator modify tour details,Creator modify tour details
