NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum,EUCPW,EXUCPW
1,Authorize tour creator,8,1,2,3,1,7,1,1,2,0,0,2,2,1,0,0,0,0,1.1428571428571428,4.5,5.142857142857142,4,5,4
2,Delete irrelevant tours,5,1,1,2,1,5,0,1,1,0,0,1,1,1,0,0,0,0,1,4,4,2,5,1
3,Creator log in and register,15,1,4,5,1,11,4,2,6,0,0,0,6,2,0,0,0,0,1.3636363636363635,4.166666666666667,5.681818181818182,6,10,14
4,Upload tours,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
5,Search for a tour,8,1,2,2,1,6,2,2,4,0,0,0,4,2,0,0,0,0,1.3333333333333333,4.5,6,4,10,8
6,View a particular stop,9,1,3,2,1,7,3,1,4,0,0,0,4,1,0,0,0,0,1.2857142857142858,4.5,5.7857142857142865,4,10,10
7,Update tour,5,1,2,1,1,5,1,1,2,0,0,0,2,1,0,0,0,0,1,4,4,2,5,4
8,Creator modify tour details,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,5,5.625,3,5,7
