id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Public Event Name Field->User:Public Event Name Field->Public Event Name Field:Create the public event->Create the public event:Public Event,Create Public Events,CTRL,4,1,3,3,12
2,stl#User:Public Event Name Field->User:Public Event Name Field->Public Event Name Field:Check presence of the event->Check presence of the event:Warning Information of Duplicate,Create Public Events,CTRL;EXTCLL;INT,4,0,2,3,8
3,stl#User:Warning Information of Duplicate->User:Warning Information of Duplicate,Create Public Events,CTRL;EXTCLL;INT,2,0,2,1,4
