id,transaction,useCase,transactional,TL, DETs, TD, Arch_Diff
39,stl#Administrator:User group list->Administrator:User group list->User group list:validate role of user->validate role of user:find email address of the selected youth->find email address of the selected youth:user,Mass Email,TRAN_NA,5,0,2,10
40,stl#Administrator:send email page->Administrator:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,CTRL,5,0,7.25,36.25
41,stl#Administrator:send email page->Administrator:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,EXTCLL,5,0,7.25,36.25
42,stl#Administrator:send email page->Administrator:send email page->send email page:send email->send email:Add activities to case->Add activities to case:unauthorized access error,Mass Email,INT,5,0,7.25,36.25
43,stl#Administrator:send email page->Administrator:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Email sent success message,Mass Email,CTRL,5,0,9.25,46.25
44,stl#Administrator:send email page->Administrator:send email page->send email page:send email->send email:Add activities to case->Add activities to case:Case,Mass Email,CTRL,5,0,6.5,32.5
45,stl#Administrator:Email sent success message->Administrator:Email sent success message,Mass Email,CTRL,2,0,12,24
46,stl#Administrator:unauthorized access error->Administrator:unauthorized access error,Mass Email,CTRL,2,0,4,8
47,stl#Administrator:unauthorized access error->Administrator:unauthorized access error,Mass Email,EXTCLL,2,0,4,8
48,stl#Administrator:unauthorized access error->Administrator:unauthorized access error,Mass Email,INT,2,0,4,8
