id,element,useCase,type,component
1,administrator:survey report,exports a survey,control,surveyreport
2,administrator:school list amd survey list page,exports a survey,control,surveyreport
3,administrator:path list,exports a survey,boundary,questionlist
4,construct a survey report:answer,exports a survey,entity,User
5,construct a survey report:display survey report,exports a survey,control,surveyreport
6,construct a survey report:path list,exports a survey,boundary,questionlist
7,retrieve survey detail from db:construct a survey report,exports a survey,control,surveyreport
8,display survey report:survey report,exports a survey,control,surveyreport
9,retrieve survey detail from db:survey list,exports a survey,control,surveyreport
10,school list amd survey list page:retrieve survey detail from db,exports a survey,control,surveyreport
11,stl#administrator:survey report,exports a survey,Stimulus,undefined
12,stl#administrator:school list amd survey list page,exports a survey,Stimulus,undefined
13,stl#administrator:path list,exports a survey,Stimulus,undefined
