id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,User->Logout Button->Remove session->session,EI,CTRL|DM|EI,4,1,1,1,1,1,Login/Logout,Login/Logout
2,User->Login Page->check login information->Login success message,EQ,CTRL|INT,4,2,1,0,1,4,Login/Logout,Login/Logout
3,User->Login Page->check login information->Log failture message,EQ,CTRL|INT,4,2,1,0,1,4,Login/Logout,Login/Logout
4,User->Login Page->check login information->Login Info,EI,CTRL|DM|EI,4,1,1,1,1,1,Login/Logout,Login/Logout
5,User->forget password button->display forgot password page->forgot password page,EQ,CTRL|INT,4,2,1,0,1,4,Forgets password,Forgets password
6,User->forgot password page->send reset link by email->Email Protocol,FUNC_NA,CTRL|EXTIVK,4,1,1,0,2,1,Forgets password,Forgets password
7,User->forgot password page->reset password->password reset success message,EQ,CTRL|INT,4,2,1,0,1,5,Forgets password,Forgets password
8,User->forgot password page->reset password->Login Info,EI,CTRL|DM|EI,4,1,1,1,1,1,Forgets password,Forgets password
9,User->User add button->display user add page->User add page,EQ,CTRL|INT,4,2,1,0,1,4,Add users,Add users
10,User->User add page->save user information->User info,EI,CTRL|DM|EI,4,1,1,1,1,1,Add users,Add users
11,User->User add page->save user information->save user information success message,EQ,CTRL|INT,4,2,1,0,1,5,Add users,Add users
12,User->User info page->Delete user info->User info,EI,CTRL|DM|EI,4,1,1,1,1,2,Delete users,Delete users
13,User->User info page->Delete user info->Delete user info success,EQ,CTRL|INT,4,2,1,0,1,5,Delete users,Delete users
14,User->User List->query user info->User info page,EQ,CTRL|INT,4,2,1,0,1,4,Delete users,Delete users
15,User->User List->query user info->User info,EI,CTRL|DM|EI,4,1,1,1,1,1,Delete users,Delete users
16,User->User info page->Save modified user info->Save user info success message,EQ,CTRL|INT,4,2,1,0,1,5,Modify user information,Modify user information
17,User->User info page->Save modified user info->Invalid input user information,EQ,CTRL|INT,4,2,1,0,1,5,Modify user information,Modify user information
18,User->User info page->Save modified user info->User info,EI,CTRL|DM|EI,4,1,1,1,1,2,Modify user information,Modify user information
19,User->Modify User Info->query user info->User info,EI,CTRL|DM|EI,4,1,1,1,1,1,Modify user information,Modify user information
20,User->Modify User Info->query user info->User info page,EQ,CTRL|INT,4,2,1,0,1,4,Modify user information,Modify user information
21,User->manage girls/teams/volunteers page->query girl info->query teams info->Teams,EI,CTRL|DM|EI,5,1,2,1,1,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
22,User->manage girls/teams/volunteers page->query girl info->query teams info->query volunteers info->Girls/Teams/Volunteers manage page,EQ,CTRL|INT,6,2,3,0,1,5,Manage teams/volunteers/girls,Manage teams/volunteers/girls
23,User->manage girls/teams/volunteers page->query girl info->query teams info->query volunteers info->Volunteers,EI,CTRL|DM|EI,6,1,3,1,1,4,Manage teams/volunteers/girls,Manage teams/volunteers/girls
24,User->manage girls/teams/volunteers page->query girl info->Girl,EI,CTRL|DM|EI,4,1,1,1,1,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
25,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Invalid modified information,EQ,CTRL|INT,4,2,1,0,1,5,Manage teams/volunteers/girls,Manage teams/volunteers/girls
26,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Volunteers,EI,CTRL|DM|EI,5,1,2,1,1,4,Manage teams/volunteers/girls,Manage teams/volunteers/girls
27,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Teams,EI,CTRL|DM|EI,5,1,2,1,1,4,Manage teams/volunteers/girls,Manage teams/volunteers/girls
28,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Girl,EI,CTRL|DM|EI,5,1,2,1,1,4,Manage teams/volunteers/girls,Manage teams/volunteers/girls
29,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Save modified information->Save modified information success message,EQ,CTRL|INT,5,2,2,0,1,5,Manage teams/volunteers/girls,Manage teams/volunteers/girls
30,User->Girls/Teams/Volunteers manage page->process input information for girs/teams/volunteers->Required information missing error message,EQ,CTRL|INT,4,2,1,0,1,4,Manage teams/volunteers/girls,Manage teams/volunteers/girls
31,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Delete information successfully,EQ,CTRL|INT,4,2,1,0,1,5,Manage teams/volunteers/girls,Manage teams/volunteers/girls
32,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Volunteers,EI,CTRL|DM|EI,4,1,1,1,1,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
33,User->Girls/Teams/Volunteers manage page->Delete girls/volunteers/teams->Girl,EI,CTRL|DM|EI,4,1,1,1,1,2,Manage teams/volunteers/girls,Manage teams/volunteers/girls
