id,element,useCase,type,component
1,Weight loser:goal has some sponsors,delete goal,entity,goal
2,Weight loser:delete goal button on goal track page,delete goal,control,redirecttheusertocreatgoalpage
3,Weight loser:Confirmation Window,delete goal,boundary,errorinaccessfacebookinformation
4,shows confirmation:Confirmation Window,delete goal,boundary,errorinaccessfacebookinformation
5,check that goal has no sponsor:sponsor info,delete goal,boundary,errorinaccessfacebookinformation
6,check that goal has no sponsor:goal has some sponsors,delete goal,entity,goal
7,check that goal has no sponsor:shows confirmation,delete goal,boundary,errorinaccessfacebookinformation
8,delete goal button on goal track page:check that goal has no sponsor,delete goal,control,redirecttheusertocreatgoalpage
9,stl#Weight loser:goal has some sponsors,delete goal,Stimulus,undefined
10,stl#Weight loser:delete goal button on goal track page,delete goal,Stimulus,undefined
11,stl#Weight loser:Confirmation Window,delete goal,Stimulus,undefined
