id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Auto publish reschedule,control,1,0,Publish Offer,Publish Offer,
2,Display modify error,control,0,1,Publish Offer,Publish Offer,
3,Add Server,actor,1,0,Publish Offer,Publish Offer,
4,Publish offer,control,0,2,Publish Offer,Publish Offer,
5,Check validate,control,2,1,Publish Offer,Publish Offer,
6,offer details,boundary,1,3,Publish Offer,Publish Offer,
7,Offers,entity,1,0,Publish Offer,Publish Offer,
8,Retrieve offers,control,1,2,Publish Offer,Publish Offer,
9,Display offer,control,2,1,Publish Offer,Publish Offer,
10,Dispaly Error Msg,control,0,1,Publish Offer,Publish Offer,
11,offers pages,boundary,1,1,Publish Offer,Publish Offer,
12,FTSR,actor,2,0,Publish Offer,Publish Offer,
