id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,successfully sent page,boundary,0,2,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
2,"please fill in the content" page,boundary,0,2,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
3,message,entity,0,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
4,save message into database,control,3,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
5,check message is not empty,control,2,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
6,send button,boundary,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
7,type message content,control,0,2,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
8,display send message page,control,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
9,send message button,boundary,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
10,profile page of other language larner,boundary,0,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
11,Language learner,actor,7,0,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
12,Database,entity,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
13,Message API,control,2,4,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
14,Authorization API,control,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
15,Message Page,boundary,3,5,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
16,Database,entity,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
17,Message API,control,2,4,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
18,Authorization API,control,1,1,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
19,Message Page,boundary,3,3,Send Messages to Other Language Learner,Send Messages to Other Language Learner,
