NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, NT, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Recording video of bad driving event,9,1,1,4,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1.2857142857142858,0,0,0
2,Query bad driver reporting DB,11,1,3,3,3,10,1,0,1,0,0,3,1,0,0,0,0,0,1.1,4.75,5.2250000000000005,4
3,Post Bad Driver Report to Insurance DB,19,1,1,9,3,14,0,0,0,0,0,2,0,0,0,0,0,0,1.3571428571428572,3,4.071428571428571,2
4,Send Drunk Driver Alert,23,1,3,10,2,16,1,0,1,0,0,19,1,0,0,0,0,0,1.4375,5.15,7.403125,20
5,Upload video clip to bad driver recording DB,12,1,1,5,1,8,0,1,1,0,0,1,1,1,0,0,0,0,1.5,4,6,2
6,Reviewer/Agent Login,14,1,4,5,1,11,0,5,5,0,0,0,5,5,0,0,0,0,1.2727272727272727,5.6,7.127272727272727,5
7,Independent Review of Bad Driver Report,13,1,2,5,3,11,0,2,2,0,0,1,2,2,0,0,0,0,1.1818181818181819,6,7.090909090909092,3
8,Capture Frame from Video and get  LP number,14,1,1,9,1,12,0,1,1,0,0,6,1,1,0,0,0,0,1.1666666666666667,3.5714285714285716,4.166666666666667,7
9,View video clips,7,1,1,4,1,7,0,1,1,0,0,0,1,1,0,0,0,0,1,5,5,1
10,App user login,10,1,3,3,1,8,1,2,3,0,0,0,3,2,0,0,0,0,1.25,4.666666666666667,5.833333333333334,3
11,Resolve Potential Duplicates,6,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1,4.5,4.5,2
12,Recording video clips in a circular buffer,7,1,1,4,1,7,0,1,1,0,0,0,1,1,0,0,0,0,1,6,6,1
