id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Upload video clips,control,1,1,Use Case Model,Recording video of bad driving event
2,Circular buffer,entity,2,1,Use Case Model,Recording video of bad driving event
3,Fetch two most  recent video clips,control,2,1,Use Case Model,Recording video of bad driving event
4,Stop Recording and store file,control,1,2,Use Case Model,Recording video of bad driving event
5,Recording video clips,control,2,3,Use Case Model,Recording video of bad driving event
6,Recording screen,boundary,1,1,Use Case Model,Recording video of bad driving event
7,Insurance Agent,actor,3,0,Use Case Model,Recording video of bad driving event
8,License lace # database associated with Bad Drivers,entity,1,0,Query bad driver reporting DB,Query bad driver reporting DB
9,Bad Driver Database,entity,0,1,Query bad driver reporting DB,Query bad driver reporting DB
10,Bad Dirver Report,entity,2,1,Query bad driver reporting DB,Query bad driver reporting DB
11,Display Report,control,1,1,Query bad driver reporting DB,Query bad driver reporting DB
12,Select Report,control,1,1,Query bad driver reporting DB,Query bad driver reporting DB
13,Query for report by license plate #,control,1,2,Query bad driver reporting DB,Query bad driver reporting DB
14,List of reports screen,boundary,1,2,Query bad driver reporting DB,Query bad driver reporting DB
15,Review Report,boundary,0,2,Query bad driver reporting DB,Query bad driver reporting DB
16,Enter License Plate# Screen,boundary,1,1,Query bad driver reporting DB,Query bad driver reporting DB
17,Insurance Agent,actor,3,0,Query bad driver reporting DB,Query bad driver reporting DB
18,Post report,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
19,describe vechle(license  # model/make etc),control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
20,describe incident (category security etc),control,2,0,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
21,Cancel report,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
22,Capture Image,entity,0,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
23,get date time and location of incident from video metadata,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
24,Display in non-editable fields,control,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
25,Video,entity,1,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
26,Bad Dirver Report,entity,1,4,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
27,check if all details are filled?,control,2,1,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
28,Display error message from empty fields,control,1,2,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
29,Display video,control,1,2,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
30,Enter License Plate# Screen,boundary,6,3,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
31,Report Poster,actor,3,0,Post Bad Driver Report to Insurance DB,Post Bad Driver Report to Insurance DB
32,Email client,boundary,0,1,Send Drunk Driver Alert,Send Drunk Driver Alert
33,Describe vehicle details,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert
34,Display emergency alert web form,control,0,1,Send Drunk Driver Alert,Send Drunk Driver Alert
35,Bad driver reporting screen,boundary,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert
36,Describe vehicle details,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert
37,fill video metadata in non-editable fields,control,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
38,Cancel report,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert
39,emergency alert,entity,1,4,Send Drunk Driver Alert,Send Drunk Driver Alert
40,Describe incident,control,2,1,Send Drunk Driver Alert,Send Drunk Driver Alert
41,Enter name and phone number,control,1,1,Send Drunk Driver Alert,Send Drunk Driver Alert
42,Video,entity,0,2,Send Drunk Driver Alert,Send Drunk Driver Alert
43,get time date location from video metadata,control,1,3,Send Drunk Driver Alert,Send Drunk Driver Alert
44,Upload the video,control,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
45,Record hazardous videos and Call 911,control,1,3,Send Drunk Driver Alert,Send Drunk Driver Alert
46,Enter License Plate# Screen,boundary,7,3,Send Drunk Driver Alert,Send Drunk Driver Alert
47,Report Poster,actor,2,0,Send Drunk Driver Alert,Send Drunk Driver Alert
48,receive file at node.js,control,1,2,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
49,receive response,control,3,0,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
50,display failure message,control,0,3,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
51,Video,entity,0,1,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
52,send request with video file,control,1,1,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
53,display success message,control,0,4,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
54,Mobile app,boundary,1,1,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
55,App user,actor,5,0,Upload video clip to bad driver recording DB,Upload video clip to bad driver recording DB
56,Blank fields popup,boundary,1,1,Reviewer/Agent Login,Reviewer/Agent Login
57,Query for valid users,control,1,3,Reviewer/Agent Login,Reviewer/Agent Login
58,unauthoried access popup,boundary,1,1,Reviewer/Agent Login,Reviewer/Agent Login
59,Validate user,control,1,1,Reviewer/Agent Login,Reviewer/Agent Login
60,Login screen,boundary,1,1,Reviewer/Agent Login,Reviewer/Agent Login
61,privileges alert,control,1,1,Reviewer/Agent Login,Reviewer/Agent Login
62,Account collection,entity,0,1,Reviewer/Agent Login,Reviewer/Agent Login
63,Invalid user alert,control,1,1,Reviewer/Agent Login,Reviewer/Agent Login
64,check blank fields,control,1,3,Reviewer/Agent Login,Reviewer/Agent Login
65,Invalid user popup,boundary,2,1,Reviewer/Agent Login,Reviewer/Agent Login
66,Review/Agent,actor,4,0,Reviewer/Agent Login,Reviewer/Agent Login
67,Generate review queue,control,1,1,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
68,Review Queue,entity,1,1,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
69,Get next report,control,2,1,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
70,Get next report,control,1,1,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
71,Bad driver report,entity,1,1,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
72,Duplicate popup,boundary,1,1,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
73,Query for potential duplicates,control,2,2,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
74,Login screen,boundary,1,1,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
75,Bad driver database,entity,0,2,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
76,Display alert,control,1,2,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
77,Independent Reviewer,actor,4,0,Independent Review of Bad Driver Report,Independent Review of Bad Driver Report
78,Display cropped image,control,0,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
79,video,entity,0,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
80,Extract LP#,control,1,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
81,Describe LP# in editable field,control,1,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
82,confirm LP#,control,3,0,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
83,Zoom and crop functionality,control,2,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
84,Displlay captured frame,control,0,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
85,return LP# and image,control,1,2,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
86,Finish,control,2,1,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
87,Display video with media controls,control,2,2,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
88,Capture frame from video and extract LP#,boundary,6,3,Capture Frame from Video and get  LP number,Capture Frame from Video and get  LP number
