id,element,useCase,type,outboundDegree,inboundDegree
1,User:Select the Image file,Upload Image,0,undefined,undefined
2,User:Open Button,Upload Image,0,undefined,undefined
3,User:Design Coupon screen,Upload Image,0,undefined,undefined
4,User:Upload Image button,Upload Image,0,undefined,undefined
5,User:Cancel Button,Upload Image,0,undefined,undefined
6,File Chooser Windows:Cancel Button,Upload Image,0,undefined,undefined
7,Display Image in Coupon Image:Design Coupon screen,Upload Image,0,undefined,undefined
8,Open Button:Display Image in Coupon Image,Upload Image,0,undefined,undefined
9,File Chooser Windows:Select the Image file,Upload Image,0,undefined,undefined
10,Upload Image button:File Chooser Windows,Upload Image,0,undefined,undefined
11,stl#User:Select the Image file,Upload Image,0,undefined,undefined
12,stl#User:Open Button,Upload Image,0,undefined,undefined
13,stl#User:Design Coupon screen,Upload Image,0,undefined,undefined
14,stl#User:Upload Image button,Upload Image,0,undefined,undefined
15,stl#User:Cancel Button,Upload Image,0,undefined,undefined
