id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:Redemption statistics screen,View redemption statistics for partner storyboard,0,undefined,undefined
2,Administrator:Coupon Redeem Page,View redemption statistics for partner storyboard,0,undefined,undefined
3,Invoke:Billing partner,View redemption statistics for partner storyboard,0,undefined,undefined
4,Chooses filtering or sorting option:Coupon Redeem Page,View redemption statistics for partner storyboard,0,undefined,undefined
5,Chooses filtering or sorting option:Filter and sort result,View redemption statistics for partner storyboard,0,undefined,undefined
6,Redemption statistics screen:Chooses filtering or sorting option,View redemption statistics for partner storyboard,0,undefined,undefined
7,Coupon Redeem Page:Query Transaction Log and Partner Info,View redemption statistics for partner storyboard,0,undefined,undefined
8,Display redemption statistics screen:Redemption statistics screen,View redemption statistics for partner storyboard,0,undefined,undefined
9,Display redemption statistics screen:Invoke,View redemption statistics for partner storyboard,0,undefined,undefined
10,Filter and sort result:Display redemption statistics screen,View redemption statistics for partner storyboard,0,undefined,undefined
11,Filter and sort result:Temporary storage,View redemption statistics for partner storyboard,0,undefined,undefined
12,Query Transaction Log and Partner Info:Filter and sort result,View redemption statistics for partner storyboard,0,undefined,undefined
13,Invoke:Validating redemption password,View redemption statistics for partner storyboard,0,undefined,undefined
14,Invoke:Notifying partner,View redemption statistics for partner storyboard,0,undefined,undefined
15,Invoke:Logging transaction,View redemption statistics for partner storyboard,0,undefined,undefined
16,Leave Reemption statistics screen:Temporary storage,View redemption statistics for partner storyboard,0,undefined,undefined
17,Redemption statistics screen:Leave Reemption statistics screen,View redemption statistics for partner storyboard,0,undefined,undefined
18,Query Transaction Log and Partner Info:Partner Info,View redemption statistics for partner storyboard,0,undefined,undefined
19,Query Transaction Log and Partner Info:Temporary storage,View redemption statistics for partner storyboard,0,undefined,undefined
20,Query Transaction Log and Partner Info:Transaction Log,View redemption statistics for partner storyboard,0,undefined,undefined
21,Redemption statistics screen:Query Transaction Log and Partner Info,View redemption statistics for partner storyboard,0,undefined,undefined
22,stl#Administrator:Redemption statistics screen,View redemption statistics for partner storyboard,0,undefined,undefined
23,stl#Administrator:Coupon Redeem Page,View redemption statistics for partner storyboard,0,undefined,undefined
