id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->Sign up page->verify sign up information->Save sign up information->user,EI,CTRL|DM|EI,5,undefined,2,1,1,Setup account,Setup account
2,User->Sign up page->verify sign up information->Save sign up information->home page,EQ,CTRL|INT,5,undefined,2,0,1,Setup account,Setup account
3,User->Sign up page->verify sign up information->invalid sign up informatin,EQ,CTRL|INT,4,undefined,1,0,1,Setup account,Setup account
