id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->Filter Icon->Display sorting options->Sorting options,EQ,CTRL|INT,4,undefined,1,0,1,Sort Pictures,Sort Pictures
2,User->Sorting options->sort the picture->Sorted List of Pictures,EQ,CTRL|INT,4,undefined,1,0,1,Sort Pictures,Sort Pictures
