id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,post is unliked message,boundary,0,2,Unlike a thread or a post,Unlike a thread or a post,
2,grayed out post unlike button,boundary,0,2,Unlike a thread or a post,Unlike a thread or a post,
3,unlike post button,boundary,1,1,Unlike a thread or a post,Unlike a thread or a post,
4,post,entity,0,1,Unlike a thread or a post,Unlike a thread or a post,
5,update like number of the post,control,3,1,Unlike a thread or a post,Unlike a thread or a post,
6,update like number of thread,control,3,1,Unlike a thread or a post,Unlike a thread or a post,
7,thread,entity,0,1,Unlike a thread or a post,Unlike a thread or a post,
8,Like information,entity,0,1,Unlike a thread or a post,Unlike a thread or a post,
9,thread is unliked message,boundary,0,2,Unlike a thread or a post,Unlike a thread or a post,
10,point,entity,0,1,Unlike a thread or a post,Unlike a thread or a post,
11,calculate points of the owner,control,3,2,Unlike a thread or a post,Unlike a thread or a post,
12,grayed out thread unlike button,boundary,0,2,Unlike a thread or a post,Unlike a thread or a post,
13,save the unlike status,control,3,2,Unlike a thread or a post,Unlike a thread or a post,
14,unlike thread button,boundary,1,1,Unlike a thread or a post,Unlike a thread or a post,
15,User,actor,6,0,Unlike a thread or a post,Unlike a thread or a post,
