id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->unlike post button->save the unlike status->Like information,EI,CTRL|DM|EI,4,undefined,1,1,1,Unlike a thread or a post,Unlike a thread or a post
2,User->unlike post button->save the unlike status->update like number of the post->post,EI,CTRL|DM|EI,5,undefined,2,1,1,Unlike a thread or a post,Unlike a thread or a post
3,User->unlike post button->save the unlike status->update like number of the post->calculate points of the owner->thread is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
4,User->unlike post button->save the unlike status->update like number of the post->calculate points of the owner->post is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
5,User->unlike post button->save the unlike status->update like number of the post->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Unlike a thread or a post,Unlike a thread or a post
6,User->unlike post button->save the unlike status->update like number of the post->grayed out post unlike button,EQ,CTRL|INT,5,undefined,2,0,1,Unlike a thread or a post,Unlike a thread or a post
7,User->unlike post button->save the unlike status->update like number of thread->calculate points of the owner->thread is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
8,User->unlike post button->save the unlike status->update like number of thread->calculate points of the owner->post is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
9,User->unlike post button->save the unlike status->update like number of thread->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Unlike a thread or a post,Unlike a thread or a post
10,User->unlike post button->save the unlike status->update like number of thread->thread,EI,CTRL|DM|EI,5,undefined,2,1,1,Unlike a thread or a post,Unlike a thread or a post
11,User->unlike post button->save the unlike status->update like number of thread->grayed out thread unlike button,EQ,CTRL|INT,5,undefined,2,0,1,Unlike a thread or a post,Unlike a thread or a post
12,User->unlike thread button->save the unlike status->Like information,EI,CTRL|DM|EI,4,undefined,1,1,1,Unlike a thread or a post,Unlike a thread or a post
13,User->unlike thread button->save the unlike status->update like number of the post->post,EI,CTRL|DM|EI,5,undefined,2,1,1,Unlike a thread or a post,Unlike a thread or a post
14,User->unlike thread button->save the unlike status->update like number of the post->calculate points of the owner->thread is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
15,User->unlike thread button->save the unlike status->update like number of the post->calculate points of the owner->post is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
16,User->unlike thread button->save the unlike status->update like number of the post->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Unlike a thread or a post,Unlike a thread or a post
17,User->unlike thread button->save the unlike status->update like number of the post->grayed out post unlike button,EQ,CTRL|INT,5,undefined,2,0,1,Unlike a thread or a post,Unlike a thread or a post
18,User->unlike thread button->save the unlike status->update like number of thread->calculate points of the owner->thread is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
19,User->unlike thread button->save the unlike status->update like number of thread->calculate points of the owner->post is unliked message,EQ,CTRL|INT,6,undefined,3,0,1,Unlike a thread or a post,Unlike a thread or a post
20,User->unlike thread button->save the unlike status->update like number of thread->calculate points of the owner->point,EI,CTRL|DM|EI,6,undefined,3,1,1,Unlike a thread or a post,Unlike a thread or a post
21,User->unlike thread button->save the unlike status->update like number of thread->thread,EI,CTRL|DM|EI,5,undefined,2,1,1,Unlike a thread or a post,Unlike a thread or a post
22,User->unlike thread button->save the unlike status->update like number of thread->grayed out thread unlike button,EQ,CTRL|INT,5,undefined,2,0,1,Unlike a thread or a post,Unlike a thread or a post
