id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Excel,entity,0,1,Report generation,Report generation,
2,report,entity,0,1,Report generation,Report generation,
3,dump report to Excel,control,2,1,Report generation,Report generation,
4,report list,boundary,1,2,Report generation,Report generation,
5,query report,control,2,1,Report generation,Report generation,
6,report generation button,boundary,1,1,Report generation,Report generation,
7,User,actor,3,0,Report generation,Report generation,
