id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,No comments available on update,boundary,0,2,Comment on a post,Comment on a post,
2,order comments,control,1,1,Comment on a post,Comment on a post,
3,Save comments,control,3,1,Comment on a post,Comment on a post,
4,commenting box,boundary,1,2,Comment on a post,Comment on a post,
5,display commenting box,control,1,1,Comment on a post,Comment on a post,
6, comment list,boundary,1,2,Comment on a post,Comment on a post,
7,comments,entity,0,2,Comment on a post,Comment on a post,
8,query comments based on update,control,3,2,Comment on a post,Comment on a post,
9,Comment link,boundary,1,1,Comment on a post,Comment on a post,
10,User,actor,4,0,Comment on a post,Comment on a post,
