id,attribute,type,element
1,attribute,EAJava_string,Message
2,date,EAJava_string,Message
3,message_body,EAJava_string,Message
4,message_id,EAJava_int,Message
5,receiver_name,EAJava_string,Message
6,sender_name,EAJava_string,Message
7,status,EAJava_string,Message
8,email,EAJava_string,User
9,id,EAJava_string,User
10,name,EAJava_string,User
11,password,EAJava_string,User
12,Access_token,EAJava_string,Authentication
13,expire_date,EAJava_string,Authentication
14,user_id,EAJava_string,Authentication
15,url,EAJava_string,Avatar
16,user_id,EAJava_string,Avatar
17,abbreviation,EAJava_string,Country
18,id,EAJava_string,Country
19,name,EAJava_string,Country
20,undefined,EAID_61D17767_D768_4c1c_BB49_57AD454809D1,Country
21,desiredlevel,EAJava_string,Desire
22,languageID,EAJava_string,Desire
23,userID,EAJava_string,Desire
24,avatar_url,EAJava_string,Detail
25,birthday,EAJava_string,Detail
26,city,EAJava_string,Detail
27,country,EAJava_string,Detail
28,fname,EAJava_string,Detail
29,introduction,EAJava_string,Detail
30,lname,EAJava_string,Detail
31,mname,EAJava_string,Detail
32,sex,EAJava_string,Detail
33,university,EAJava_string,Detail
34,user_id,EAJava_string,Detail
35,abbreviation,EAJava_string,Language
36,id,EAJava_string,Language
37,name,EAJava_string,Language
38,undefined,EAID_5D480E4D_D6C2_441b_813D_534D05C673B9,Language
39,languageID,EAJava_string,Skill
40,skill_level,EAJava_string,Skill
41,userID,EAJava_string,Skill
