id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,displaysthankyoumessage,undefined,undefined,undefined,undefined,undefined,undefined
2,readsscenariomemo,undefined,undefined,undefined,undefined,undefined,undefined
3,clicksnext,undefined,undefined,undefined,undefined,undefined,undefined
4,givetheirresponses,undefined,undefined,undefined,undefined,undefined,undefined
5,Answersfrompagestoredascookie,undefined,undefined,undefined,undefined,undefined,undefined
6,Showsdatabaseinformation,undefined,undefined,undefined,undefined,undefined,undefined
7,User,undefined,undefined,undefined,undefined,undefined,undefined
8,Object1,undefined,undefined,undefined,undefined,undefined,undefined
