id,path,functional,transactional,path_length,diagram,useCase
1,Traveler->Travel Plan Page->Checking existing->Annotation create/update page,EQ,CTRL|INT,undefined,Annotate trip plan,Annotate trip plan
2,Traveler->Travel Plan Page->Checking existing->Annotation page,EQ,CTRL|INT,undefined,Annotate trip plan,Annotate trip plan
