id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Print page,boundary,0,1,Annotate trip plan,Annotate trip plan,
2,Annotation page,boundary,2,2,Annotate trip plan,Annotate trip plan,
3,Display,control,1,1,Annotate trip plan,Annotate trip plan,
4,Delete Photos,control,1,1,Annotate trip plan,Annotate trip plan,
5,Pop-up Alert,boundary,0,1,Annotate trip plan,Annotate trip plan,
6,Annotation,entity,1,2,Annotate trip plan,Annotate trip plan,
7,Photos,entity,1,2,Annotate trip plan,Annotate trip plan,
8,Edit comment,control,1,1,Annotate trip plan,Annotate trip plan,
9,Comment,entity,1,2,Annotate trip plan,Annotate trip plan,
10,Click update annotation,control,1,1,Annotate trip plan,Annotate trip plan,
11,Click print button,control,1,1,Annotate trip plan,Annotate trip plan,
12,Annotation create/update page,boundary,4,2,Annotate trip plan,Annotate trip plan,
13,Display,control,3,2,Annotate trip plan,Annotate trip plan,
14,Upload more photos,control,1,2,Annotate trip plan,Annotate trip plan,
15,Check the number of photos,control,2,1,Annotate trip plan,Annotate trip plan,
16,Checking existing,control,3,2,Annotate trip plan,Annotate trip plan,
17,Traveler,actor,1,0,Annotate trip plan,Annotate trip plan,
18,Travel Plan Page,boundary,1,1,Annotate trip plan,Annotate trip plan,
