id,operation,element
1,inputsallrequiredfields,inputsallrequiredfields
2,Logininpage,Logininpage
3,Homepage,Logininpage
4,showconfirmation,showconfirmation
5,confirmlogoutbutton,showconfirmation
6,clicksmatchbutton,showconfirmation
7,Clicksendbutton,Clicksendbutton
8,Gototheprofileofotherlanguagelearner,Gototheprofileofotherlanguagelearner
9,bringsLanguageLearnertosendmessagepage,Gototheprofileofotherlanguagelearner
10,createsaccountforLanguageLearnerbasedontheirinputs,Gototheprofileofotherlanguagelearner
11,checkswhetherusernameemailalreadyexist,Gototheprofileofotherlanguagelearner
