id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Application Server Component,0,0,0,0,0,0
2,Browser,0,0,0,0,0,0
3,DBMS,0,0,0,0,0,0
4,ELC server,0,0,0,0,0,0
5,Techinique Summary Generator component,0,0,0,0,0,0
6,User computer,0,0,0,0,0,0
7,User interface component,0,0,0,0,0,0
8,User submission component,0,0,0,0,0,0
9,Web server component,0,0,0,0,0,0
10,webpage,0,0,0,0,0,0
11,webpage update compenonet,0,0,0,0,0,0
12,$help://actor.htm,0,0,0,0,0,0
13,$help://use_case_model_pattern.htm,0,0,0,0,0,0
14,$help://usecasediagram.htm,0,0,0,0,0,0
15,System Boundary,0,0,0,0,0,0
16,storesanswersindatabase,0,0,0,0,0,0
17,clicksnext,0,0,0,0,0,0
18,displaysthankyoumessage,0,0,0,0,0,0
19,Object1,0,0,0,0,0,0
