,model1,model2,metric,direction,model1_mean,model2_mean,bonferroni_p_value,cohen_d
56,lasso,tm1,pred25,-,0.001428571,0.087142857,0.0179982,-1.234393814
57,lasso,ucp,pred25,-,0.001428571,0.005714286,0.0179982,-0.192079176
58,lasso,fp,pred25,-,0.001428571,0.051428571,0.0179982,-0.84424727
59,lasso,cosmic,pred25,-,0.001428571,0.085714286,0.0179982,-1.237731974
60,lasso,sloc,pred25,-,0.001428571,0.037142857,0.0179982,-0.74611002
61,lasso,ln_sloc,pred25,-,0.001428571,0.082857143,0.0179982,-1.312387689
62,lasso,step_lnr,pred25,-,0.001428571,0.087142857,0.0179982,-1.082937762
70,tm1,ucp,pred25,+,0.087142857,0.005714286,0.0179982,1.138505972
71,tm1,fp,pred25,+,0.087142857,0.051428571,0.0179982,0.396211284
72,tm1,cosmic,pred25,+,0.087142857,0.085714286,0.0179982,0.014849732
73,tm1,sloc,pred25,+,0.087142857,0.037142857,0.0179982,0.601542103
74,tm1,ln_sloc,pred25,+,0.087142857,0.082857143,0.0179982,0.0465747
75,tm1,step_lnr,pred25,=,0.087142857,0.087142857,0.0179982,0
76,ucp,fp,pred25,-,0.005714286,0.051428571,0.0179982,-0.741458959
77,ucp,cosmic,pred25,-,0.005714286,0.085714286,0.0179982,-1.139265738
78,ucp,sloc,pred25,-,0.005714286,0.037142857,0.0179982,-0.618146636
79,ucp,ln_sloc,pred25,-,0.005714286,0.082857143,0.0179982,-1.198431811
80,ucp,step_lnr,pred25,-,0.005714286,0.087142857,0.0179982,-1.005487068
81,fp,cosmic,pred25,-,0.051428571,0.085714286,0.0179982,-0.384756265
82,fp,sloc,pred25,+,0.051428571,0.037142857,0.0179982,0.1909909
83,fp,ln_sloc,pred25,-,0.051428571,0.082857143,0.0179982,-0.371599859
84,fp,step_lnr,pred25,-,0.051428571,0.087142857,0.0179982,-0.365113952
85,cosmic,sloc,pred25,+,0.085714286,0.037142857,0.0179982,0.592317462
86,cosmic,ln_sloc,pred25,+,0.085714286,0.082857143,0.0179982,0.031393709
87,cosmic,step_lnr,pred25,-,0.085714286,0.087142857,0.0179982,-0.013811945
88,sloc,ln_sloc,pred25,-,0.037142857,0.082857143,0.0179982,-0.593295879
89,sloc,step_lnr,pred25,-,0.037142857,0.087142857,0.0179982,-0.547113864
90,ln_sloc,step_lnr,pred25,-,0.082857143,0.087142857,0.0179982,-0.0430506
108,reg_tree,tm1,mdmre,-,1.038163225,0.719723693,0.0179982,0.459664356
99,neuralnet,step_lnr,mdmre,+,1.208996555,1.305636018,0.179982002,-0.097073995
159,reg_tree,step_lnr,mae,+,6.262756193,7.664235838,0.179982002,-0.366172764
