id,element,useCase,type,component
1,User:clicks on read button,Read Welcome Message,boundary,clicksonreadbutton
2,User:Click on view content ,Read Welcome Message,boundary,clicksonreadbutton
3,User:opens Go Grrrls App ,Read Welcome Message,boundary,Go Grrrls App
4,Click on view content :Display all the chapters listed,Read Welcome Message,control,Chapter
5,Display all the chapters listed:Display welcome message,Read Welcome Message,control,Displaywelcomemessage
6,Show the home page of the app :Display all the chapters listed,Read Welcome Message,control,Chapter
7,clicks on read button:Display welcome message,Read Welcome Message,control,Displaywelcomemessage
8,opens Go Grrrls App :Show the home page of the app ,Read Welcome Message,control,Home
9,stl#User:clicks on read button,Read Welcome Message,Stimulus,undefined
10,stl#User:Click on view content ,Read Welcome Message,Stimulus,undefined
11,stl#User:opens Go Grrrls App ,Read Welcome Message,Stimulus,undefined
