id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:View performance page->User:View performance page->View performance page:Show lists of semesters->Show lists of semesters:Return students performance page->Return students performance page:Homepge,view grade / attendance report,TRAN_NA,5,2,2,4,10
2,stl#User:Homepge->User:Homepge,view grade / attendance report,CTRL,2,0,4,1,8
3,stl#User:choose a report semester->User:choose a report semester->choose a report semester:Return students performance page->Return students performance page:Homepge,view grade / attendance report,TRAN_NA,4,1,2.3333333333333335,3,9.333333333333334
