id,element,useCase,type,component
1,User:choose a report semester,view grade / attendance report,boundary,Error Report
2,User:Homepge,view grade / attendance report,control,Send Messagepage
3,User:View performance page,view grade / attendance report,boundary,performanceInputController
4,Choose report semester:Return students performance page,view grade / attendance report,control,Grade / Attendance Report For Student / Parent
5,Return students performance page:Homepge,view grade / attendance report,control,Send Messagepage
6,choose a report semester:Return students performance page,view grade / attendance report,control,Grade / Attendance Report For Student / Parent
7,Show lists of semesters:Return students performance page,view grade / attendance report,control,Grade / Attendance Report For Student / Parent
8,View performance page:Show lists of semesters,view grade / attendance report,control,Resource List with Status
9,stl#User:choose a report semester,view grade / attendance report,Stimulus,undefined
10,stl#User:Homepge,view grade / attendance report,Stimulus,undefined
11,stl#User:View performance page,view grade / attendance report,Stimulus,undefined
