id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,redirect to search panel,control,1,1,Search Business,Search Business,
2,No result found message,boundary,1,2,Search Business,Search Business,
3,Query business information,control,1,1,Search Business,Search Business,
4,business list,boundary,1,2,Search Business,Search Business,
5,business,entity,0,2,Search Business,Search Business,
6,Query business by options,control,3,1,Search Business,Search Business,
7,operation selection panel,boundary,1,3,Search Business,Search Business,
8,display selection panel,control,1,1,Search Business,Search Business,
9,Home page,boundary,1,1,Search Business,Search Business,
10,User,actor,4,0,Search Business,Search Business,
