id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,display error message,control,1,1,Create Account,Create Account,
2,check if account name is unique,control,1,1,Create Account,Create Account,
3,check if passwords match,control,0,1,Create Account,Create Account,
4,check password format,control,0,1,Create Account,Create Account,
5,Create Account,control,3,1,Create Account,Create Account,
6,user,actor,1,0,Create Account,Create Account,
7,Specify Credentials,control,4,1,Create Account,Create Account,
8,Account Creation Page,boundary,1,2,Create Account,Create Account,
9,user,actor,1,0,Create Account Sequence,Create Account,
10,Account Creation Page,boundary,1,2,Create Account Sequence,Create Account,
