id,attribute,type,element
1,message,EAJava_string,MessageController
2,start,EAJava_Date,MessageController
3,end,EAJava_Date,MessageController
4,staff_id,EAJava_int,Staff
5,last_name,EAJava_string,Staff
6,first_name,EAJava_string,Staff
7,email,EAJava_string,Staff
8,is_admin,EAJava_int,Staff
9,message,EAJava_string,Staff
10,start_date,EAJava_Date,Staff
11,end_date,EAJava_Date,Staff
12,volunteers,EAJava_List_Volunteer_,Staff
13,documents,EAJava_List_Document_,Staff
