id,element,useCase,type,component
1,User:Homepage,View Sponser,boundary,Homepage
2,User:Choose  sponser,View Sponser,boundary,Sponsor
3,User:Click View sponser,View Sponser,boundary,ClickonAdd
4,Choose  sponser:display  sponser detail information,View Sponser,boundary,Sponsor
5,Click View sponser:diplay  sponser  list   profile,View Sponser,boundary,Employer Profile
6,display  sponser detail information:Homepage,View Sponser,boundary,Homepage
7,diplay  sponser  list   profile:display  sponser detail information,View Sponser,boundary,Sponsor
8,stl#User:Homepage,View Sponser,Stimulus,undefined
9,stl#User:Choose  sponser,View Sponser,Stimulus,undefined
10,stl#User:Click View sponser,View Sponser,Stimulus,undefined
