NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD, Avg_TC, Avg_DETs, Arch_Diff,EI,EO,EQ,FN,NI,NE,EXT,ERY,RED,WRT,SWTI,SWTII,SWTIII
1,Accept/Reject connection,5,10,0,7,3,3,1,1,0,2,1,3,0,3,2,3,6,1.9230769230769231,4.333333333333333,0.6666666666666666,11.538461538461538,0,0,18,5,5,5,5,5,5,5,5.074,5.37,5.8340000000000005
2,Accept/Reject recommendation letter,5,12,0,9,3,5,1,0,0,2,0,3,0,2,2,3,8,4.315789473684211,6.333333333333333,1.3333333333333333,34.526315789473685,0,0,19,5,5,5,5,5,5,5,5.074,14.1663,9.216000000000001
3,Advanced Search Functionality,22,26,2,20,2,7,9,3,0,0,3,6,3,3,16,6,23,4.353448275862069,19.333333333333332,3.8333333333333335,100.1293103448276,0,0,78,22,22,22,22,22,22,22,22.3256,89.4002,49.24660000000003
4,Cancel Connection,6,14,0,10,6,4,0,0,0,1,0,2,0,1,4,2,12,3.111111111111111,9,4,37.333333333333336,0,0,22,6,6,6,6,6,6,6,6.0888,8.5208,7.1433
5,Comment on a post,18,19,0,15,10,4,1,0,0,0,0,1,0,0,17,1,120,11.764705882352942,102,68,1411.7647058823532,0,0,88,18,18,18,18,18,18,18,18.266399999999997,111.1824,86.37440000000002
6,Create Group,7,15,0,11,4,0,7,2,0,1,2,3,0,3,4,3,8,5.764705882352941,5.666666666666667,1.6666666666666667,46.11764705882353,0,0,23,7,7,7,7,7,7,7,7.1036,18.2444,12.4901
7,Create Profile,53,42,0,33,18,13,2,0,0,2,0,3,0,2,50,3,153.33333333333334,7.562653562653563,135.66666666666666,43.333333333333336,1159.6068796068798,0,0,259,53,53,53,53,53,53,53,53.78440000000003,379.62569999999965,230.6724000000001
8,Create short summary/headline for profile,12,18,2,14,8,3,1,0,0,1,0,2,0,1,10,2,32.5,3.6792452830188678,26.5,10.5,119.5754716981132,0,0,53,12,12,12,12,12,12,12,12.177599999999996,36.8244,21.2201
9,Follow/unfollow company,19,15,0,12,8,4,0,0,0,0,0,1,0,0,18,1,106,5.310344827586207,87,40,562.896551724138,0,0,82,19,19,19,19,19,19,19,19.2812,85.716,41.003200000000014
10,General Search Functionality,7,15,1,11,1,7,2,1,0,0,1,3,0,1,4,3,9,1.5,6.666666666666667,0.6666666666666666,13.5,0,0,26,7,7,7,7,7,7,7,7.1036,9.4931,8.310099999999998
11,Get recommendation,5,12,0,9,0,9,0,0,0,0,0,5,0,0,0,5,3.6,3.923076923076923,2.6,0.6,14.123076923076923,0,0,18,5,5,5,5,5,5,5,5.074,7.4468,6.822
12,Group management,26,23,0,19,5,2,12,0,0,0,0,0,0,0,26,0,0,13.613924050632912,0,0,0,0,0,124,26,26,26,26,26,26,26,26.384800000000006,176.3185,101.25629999999998
13,Invite frieds through email,19,28,0,22,8,3,11,1,0,1,1,3,0,2,16,3,36.333333333333336,4.233333333333333,30,10.333333333333334,153.81111111111113,0,0,80,19,19,19,19,19,19,19,19.2812,68.2865,40.7997
14,Invite friends from LinkedIn,14,31,0,23,9,4,10,1,0,0,1,2,0,1,12,2,27.5,6.2439024390243905,20.5,8,171.70731707317074,0,0,52,14,14,14,14,14,14,14,14.207199999999995,38.4789,27.8897
