id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://use_case_model_pattern.htm,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Account,0,0,0,0,0,0
7,ActivityLogger,0,0,0,0,0,0
8,AdditionalInfo,0,0,0,0,0,0
9,Admin,0,0,0,0,0,0
10,Advertisement,0,0,0,0,0,0
11,Attachment,0,0,0,0,0,0
12,Comment,0,0,0,0,0,0
13,Company,0,0,0,0,0,0
14,CompanySearch,0,0,0,0,0,0
15,Connection,0,0,0,0,0,0
16,ConnectionUpdate,0,0,0,0,0,0
17,Courses,0,0,0,0,0,0
18,Email,0,0,0,0,0,0
19,Experience,0,0,0,0,0,0
20,FollowerSet,0,0,0,0,0,0
21,Group,0,0,0,0,0,0
22,HobbySet,0,0,0,0,0,0
23,Individual,0,0,0,0,0,0
24,IndividualSearch,0,0,0,0,0,0
25,Invitation,0,0,0,0,0,0
26,LinkedIn API,0,0,0,0,0,0
27,Member,0,0,0,0,0,0
28,Message,0,0,0,0,0,0
29,Notification,0,0,0,0,0,0
30,Post,0,0,0,0,0,0
31,Projects,0,0,0,0,0,0
32,Recommendation Letter,0,0,0,0,0,0
33,SearchEngine,0,0,0,0,0,0
34,SearchParameters,0,0,0,0,0,0
35,SearchResult,0,0,0,0,0,0
36,SearchResultEntity,0,0,0,0,0,0
37,SearchStrategy,0,0,0,0,0,0
38,Skill,0,0,0,0,0,0
39,Update,0,0,0,0,0,0
40,UserRecommender,0,0,0,0,0,0
41,User_Profile,0,0,0,0,0,0
42,refreshsocialfeed,0,0,0,0,0,0
