id,attribute,type,element
1,accountId,EAJava_int,Account
2,emailAddress,EAJava_char__,Account
3,firstName,EAJava_char__,Account
4,lastName,EAJava_char__,Account
5,password,EAJava_char__,Account
6,undefined,EAID_3550EC78_3B1D_4e05_AE26_D046E44C2D06,ActivityLogger
7,contactNumber,EAJava_int,AdditionalInfo
8,emailAddress,EAJava_char__,AdditionalInfo
9,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,AdditionalInfo
10,undefined,EAID_F2060FE0_A7F7_47f3_8E0D_252EF446B0E3,Admin
11,contentType,EAJava_char__,Attachment
12,filename,EAJava_char__,Attachment
13,url,EAJava_char__,Attachment
14,undefined,EAID_3550EC78_3B1D_4e05_AE26_D046E44C2D06,Attachment
15,aboutUs,EAJava_char__,Company
16,bannerImage,EAJava_int__,Company
17,followers,EAJava_int__,Company
18,headquarters,EAJava_char__,Company
19,industry,EAJava_char__,Company
20,institutionName,EAJava_char__,Company
21,numEmployees,EAJava_int,Company
22,profilePicture,EAJava_char__,Company
23,website,EAJava_char__,Company
24,undefined,EAID_F2060FE0_A7F7_47f3_8E0D_252EF446B0E3,Company
25,Search,EAJava_parameters_String__,CompanySearch
26,undefined,EAID_F4BF5AAE_870D_4422_ACD9_9B7BCD172EB4,CompanySearch
27,connection,EAJava_Profile,ConnectionUpdate
28,undefined,EAID_3550EC78_3B1D_4e05_AE26_D046E44C2D06,ConnectionUpdate
29,courseCode,EAJava_int,Courses
30,courseInstitude,EAJava_char__,Courses
31,courseName,EAJava_string,Courses
32,undefined,EAID_5A8B632A_71E6_4d44_BEED_82170BDEE03F,Courses
33,undefined,EAID_3891F64F_BBCB_433c_BFA1_6DD2C6AC639D,Email
34,compnayName,EAJava_int,Experience
35,designation,EAJava_int,Experience
36,endDate,EAJava_int,Experience
37,expInfo,EAJava_char__,Experience
38,startDate,EAJava_int,Experience
39,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,Experience
40,userAccid,EAJava_int,FollowerSet
41,undefined,EAID_4DF11695_C616_4508_81A9_A90982235ECB,FollowerSet
42,hobbyName,EAJava_int,HobbySet
43,undefined,EAID_B809CEFA_15AD_42f8_A71D_C744506E7657,HobbySet
44,careerInterest,EAJava_char,Individual
45,ethnicity,EAJava_int,Individual
46,experienceSet,EAJava_char__,Individual
47,headline,EAJava_char,Individual
48,industry,EAJava_char,Individual
49,location,EAJava_int,Individual
50,notificationSet,EAJava_char__,Individual
51,profilePicture,EAJava_char,Individual
52,projectSet,EAJava_char__,Individual
53,skillSet,EAJava_char__,Individual
54,summary,EAJava_char,Individual
55,website,EAJava_char,Individual
56,undefined,EAID_4DF11695_C616_4508_81A9_A90982235ECB,Individual
57,Search,EAJava_parameters_String__,IndividualSearch
58,undefined,EAID_F4BF5AAE_870D_4422_ACD9_9B7BCD172EB4,IndividualSearch
59,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,Invitation
60,undefined,EAID_3891F64F_BBCB_433c_BFA1_6DD2C6AC639D,LinkedIn API
61,groupId,EAJava_int,Member
62,individualId,EAJava_int,Member
63,memeberId,EAJava_int,Member
64,status,EAJava_int,Member
65,undefined,EAID_CCEAB95A_A5BE_4667_884E_4B9731C990E1,Member
66,notificationId,EAJava_int,Notification
67,sender,EAJava_char__,Notification
68,status,EAJava_int,Notification
69,type,EAJava_char__,Notification
70,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,Notification
71,completionDate,EAJava_int,Projects
72,projDescription,EAJava_int,Projects
73,projTitle,EAJava_int,Projects
74,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,Projects
75,searchStrategies,EAJava_List,SearchEngine
76,undefined,EAID_50EC70F1_8830_4067_9017_AE72C9C398AE,SearchEngine
77,undefined,EAID_8392558A_E777_4b4e_8BAC_B974A9E1C8EE,SearchEngine
78,fieldNames,EAJava_String__,SearchParameters
79,fieldValue,EAJava_String__,SearchParameters
80,parameterNumber,EAJava_int,SearchParameters
81,SearchResultList,EAJava_list,SearchResult
82,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,SearchResult
83,undefined,EAID_7CEF4002_E5DD_4ae8_996E_9B1DB8C38DB4,SearchResult
84,names,EAJava_String__,SearchResultEntity
85,values,EAJava_String__,SearchResultEntity
86,Search,EAJava_parameters_list,SearchStrategy
87,undefined,EAID_A12ADB6D_DA7D_4bf9_B242_AD54E36CD4A7,SearchStrategy
88,skillName,EAJava_int,Skill
89,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,Skill
90,attachments,EAJava_char__,Update
91,description,EAJava_char__,Update
92,publisher,EAJava_char__,Update
93,title,EAJava_char__,Update
94,type,EAJava_int,Update
95,undefined,EAID_F2060FE0_A7F7_47f3_8E0D_252EF446B0E3,Update
96,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,Update
97,recomendationWeights,EAJava_int,UserRecommender
98,undefined,EAID_8647229E_3561_4615_8271_BB00D59D7E0F,UserRecommender
