id,path,functional,transactional,path_length, boundry_num, control_num, entity_num, actor_num, diagram,useCase
1,User->Single Weapon ->Flick Weapon->Decrease inventory count->Weapons Inventory,EI,CTRL|DM|EI,5,undefined,2,1,1,Use Weapon,Use Weapon
2,User->Single Weapon ->Flick Weapon->Check if weapon availble->Weapons Inventory,EI,CTRL|DM|EI,5,undefined,2,1,1,Use Weapon,Use Weapon
