id,attribute,type,element
1,Cost Distribution,EAJava_int,Asset Development Information
2,Development Phases,EAJava_float,Asset Development Information
3,Indirect Cost,EAJava_float,Budget Report
4,Land Acquisition,EAJava_float,Budget Report
5,Maintenance Cost,EAJava_float,Budget Report
6,Pre Development Cost,EAJava_float,Budget Report
7,Total project cost,EAJava_float,Budget Report
8,Net Cash Flow,EAJava_float,Cash Flow Report
9,Total Development Cost,EAJava_float,Cash Flow Report
10,Total Net Sale Proceeds,EAJava_float,Cash Flow Report
11,Total Sources,EAJava_float,Cash Flow Report
12,Funding Amounts,EAJava_float,Inverstment Information
13,Funding Sources,EAJava_float,Inverstment Information
14,Development Budgets,EAJava_float,Revenue assumptions
15,Asset Program Model,EAJava_XLS,XL2 Model
