id,operation,element
1,AssetDevelopmentInformation,Asset Development Information
2,BudgetReport,Budget Report
3,Homepage,Budget Report
4,requestsabudgetreportforanewlypopulatedmodel,Budget Report
5,CashFlowReport,Cash Flow Report
6,populatesthemodelandRequestsacashflowanalysisreport,Cash Flow Report
7,InverstmentInformation,Inverstment Information
8,Enterstheamountofthecost,Inverstment Information
9,Showconfirmation,Inverstment Information
10,Revenueassumptions,Revenue assumptions
11,Exceptionalphasespage,Revenue assumptions
12,XL2Model,XL2 Model
13,SavePopulatedModelpage,XL2 Model
14,Savethecompletedmodel,XL2 Model
15,phase1_populator,Controller class
16,phase2_populator,Controller class
17,phase3_populator,Controller class
18,get_cost,GUI class
19,get_funding,GUI class
20,get_phase,GUI class
21,get_revenue,GUI class
22,model_type,GUI class
23,budget_generator,Report generator class
24,cash_flow_generator,Report generator class
25,full_model_generator,Report generator class
26,Interaction,Interaction
27,EntersexceptionalphasesintotheGUI,Interaction
28,opensthealreadyexistingfileandupdatesit,opensthealreadyexistingfileandupdatesit
