id,element,useCase,type,component
1,User:2D page with 3d button,Toggle 2d/3d viz,boundary,2Dpagewith3dbutton
2,User:Disable creat from template button,Toggle 2d/3d viz,control,CreateFormTemplateView
3,User:sphere edit page,Toggle 2d/3d viz,boundary,EditSphereView
4,User:3d page,Toggle 2d/3d viz,boundary,2Dpagewith3dbutton
5,User:In app notification,Toggle 2d/3d viz,control,VizualizationView
6,2D page with 3d button:display 3d page,Toggle 2d/3d viz,boundary,2Dpagewith3dbutton
7,display 2d page:2D page with 3d button,Toggle 2d/3d viz,boundary,2Dpagewith3dbutton
8,3d page:display 2d page,Toggle 2d/3d viz,boundary,2Dpagewith3dbutton
9,display 3d page:3d page,Toggle 2d/3d viz,boundary,2Dpagewith3dbutton
10,display 3d page:Disable creat from template button,Toggle 2d/3d viz,control,CreateFormTemplateView
11,adds notification record in DB:sphere,Toggle 2d/3d viz,entity,SphereModel
12,display 2d page:redirect to sphere edit page,Toggle 2d/3d viz,boundary,EditSphereView
13,redirect to sphere edit page:sphere edit page,Toggle 2d/3d viz,boundary,EditSphereView
14,stl#User:2D page with 3d button,Toggle 2d/3d viz,Stimulus,undefined
15,stl#User:Disable creat from template button,Toggle 2d/3d viz,Stimulus,undefined
16,stl#User:sphere edit page,Toggle 2d/3d viz,Stimulus,undefined
17,stl#User:3d page,Toggle 2d/3d viz,Stimulus,undefined
18,stl#User:In app notification,Toggle 2d/3d viz,Stimulus,undefined
