NUM,PROJ,Effort,Ln_Effor,EUCP,EXUCP,DUCP,MKII,SLOC,Ln_SLOC,UseCase_Num,Tran_Num,Activity_Num,Component_Num,Precedence_Num,Stimulus_Num,Response_Num,Tran_Num,UseCase_Num,Activity_Num,Actor_Num,Avg_Actor,Boundary_Num,ControlNum,Entity_Num,Component_num,Attribute_num,Operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Depth_Inheritance_Tree,para_num,usage_num,real_num,assoc_num,external_oper_num,data_object_num,avg_operation,avg_attribute,avg_parameter,avg_usage,avg_real,avg_assoc,avg_instVar,weighted_oper_num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,DET,RET,ILF,EIF,EI,EO,EQ,FN,IFPUG,NI,NE,EXT,ERY,RED,WRT,COSMIC,UAW,TCF,EF,Simple_UC, Average_UC, Complex_UC, UUCP, UCP,SWTI,SWTII,SWTIII,NOET,NOAAE,NORT,NEM,NSR,NOS,WMC,MPC,DIT,NIVPC,NUMS,RR,NTLC,ANWMC,ADIT,NOCPBC,NT,NOC,NOA,NOUC,NOR,ANAPUC,ANRPUC,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCAL,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOC,NOAPC,NODET,NORET,NOMPC,NPPM,NMT,Num_User_Story, Num_Tasks, project_manager_estimate, developer_estimate,transaction_file
1,alltheapps_S1W1L1_2019-4-16@1558026623598,2816,3.44963265,10.1332,51.5523,41.7214,23.02,4749,3.67660217,1,9,234,11,234,9,9,9,2,234,1,0.5,1,9,1,11,795,416,11,9,0.454545455,0.333333333,4.5,2,360,105,4,10,132,1,37.81818182,72.27272727,32.72727273,9.545454545,0.363636364,0.909090909,72.27272727,124.8,2,0,1,2,5,0,3,4,5,48.6,1350.4,65629.44,795,11,73,5,0,0,42,9,120,9,9,9,9,9,9,36,1,1,1,0,0,1,16,16,9.1332,50.5523,40.7214,11,795,123,132,132,1,124.8,37.81818182,2,72.27272727,NaN,105,9,11.34545455,1.818181818,0.333333333,9,11,1,1,1,1,1,11,4,105,4,416,360,795,10,37.81818182,32.72727273,72.27272727,1.818181818,1.818181818,11,72.27272727,11,11,37.81818182,32.72727273,416,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/alltheapps_S1W1L1_2019-4-16@1558026623598_analysis/filteredTransactionEvaluation.csv
1,CuffUpdateService_S1W1L1_2019-4-16@1558026636892,2816,3.44963265,5.0592,5.296,5.6672,11.04,82157,4.914644572,1,4,4,8,4,4,4,4,2,4,1,0.5,0,8,0,8,77,111,8,8,0,0,0,0,91,0,0,0,0,0,13.875,9.625,11.375,0,0,0,9.625,33.3,0,0,0,0,4,0,0,0,4,2,4,8,77,8,65,0,0,0,12,4,77,4,4,4,4,4,4,16,1,1,1,0,1,0,11,11,4.0592,4.296,4.6672,8,77,0,0,0,1,33.3,13.875,0,9.625,NaN,0,8,4.1625,0,0,4,8,1,1,1,1,1,8,0,0,0,111,91,77,0,13.875,11.375,9.625,0,0,8,9.625,8,8,13.875,11.375,111,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/CuffUpdateService_S1W1L1_2019-4-16@1558026636892_analysis/filteredTransactionEvaluation.csv
1,Keyguard_S1W1L1_2019-4-16@1558026654419,1923,3.283979284,8.1036,9.2299,9.1676,18.8,19232,4.28402445,1,7,7,12,7,7,7,7,2,7,1,0.5,0,12,0,12,1123,2033,12,9,0.833333333,0.444444444,13,3,1922,41,16,56,0,0,169.4166667,93.58333333,160.1666667,3.416666667,1.333333333,4.666666667,93.58333333,609.9,0,0,0,0,7,0,0,0,7,2,7,14,1123,12,108,0,0,0,22,7,130,7,7,7,7,7,7,28,1,1,1,0,0,1,16,16,7.1036,8.2299,8.1676,12,1123,129,0,0,1,609.9,169.4166667,3,93.58333333,NaN,41,9,50.825,3,0.444444444,7,12,1,1,1,1,1,12,16,41,16,2033,1922,1123,56,169.4166667,160.1666667,93.58333333,9.333333333,9.333333333,12,93.58333333,12,12,169.4166667,160.1666667,2033,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/Keyguard_S1W1L1_2019-4-16@1558026654419_analysis/filteredTransactionEvaluation.csv
1,LockScreenApp_S1W1L1_2019-4-16@1558026676549,1408,3.148602655,36.518,66.7197,59.0623,82.82,8360,3.922206277,1,35,94,17,94,35,35,35,2,94,1,0.5,3,9,5,17,1240,454,17,15,0.176470588,0.066666667,3,2,357,88,3,16,66,5,26.70588235,72.94117647,21,5.176470588,0.176470588,0.941176471,72.94117647,136.2,13,0,6,13,31,0,19,4,31,4.161290323,28.4516129,118.3954214,1240,17,107,15,0,0,117,35,239,35,35,35,35,35,35,140,1,1,1,0,0,1,16,16,35.518,65.7197,58.0623,17,1240,110,66,66,1,136.2,26.70588235,2,72.94117647,NaN,88,15,8.011764706,0.294117647,0.066666667,35,17,1,1,1,1,1,17,3,88,3,454,357,1240,16,26.70588235,21,72.94117647,1.882352941,1.882352941,17,72.94117647,17,17,26.70588235,21,454,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/LockScreenApp_S1W1L1_2019-4-16@1558026676549_analysis/filteredTransactionEvaluation.csv
1,music_S1W1L1_2019-4-16@1558026688453,2816,3.44963265,3.0296,5.0856,5.1806,7.08,52801,4.722642148,1,2,12,10,12,2,2,2,2,12,1,0.5,0,7,3,10,268,131,10,10,0,0,0,0,126,30,0,3,27,3,13.1,26.8,12.6,3,0,0.3,26.8,39.3,0,0,0,0,2,0,0,0,2,7,15,105,268,10,73,0,0,0,10,2,83,2,2,2,2,2,2,8,1,1,1,1,0,0,6,6,2.0296,4.0856,4.1806,10,268,33,27,27,1,39.3,13.1,0,26.8,NaN,30,10,3.93,0,0,2,10,1,1,1,1,1,10,0,30,0,131,126,268,3,13.1,12.6,26.8,0.6,0.6,10,26.8,10,10,13.1,12.6,131,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/music_S1W1L1_2019-4-16@1558026688453_analysis/filteredTransactionEvaluation.csv
1,OrientSwitch_S1W1L1_2019-4-16@1558026692483,2192,3.34084055,10.1332,11.5813,11.9287,21.2,19232,4.28402445,1,9,9,4,9,9,9,9,2,9,1,0.5,1,2,1,4,72,63,4,3,0.25,0.333333333,1,1,47,0,1,1,0,1,15.75,18,11.75,0,0.25,0.25,18,18.9,0,0,9,0,9,0,9,0,9,2,9,18,72,4,21,5,0,0,28,9,54,9,9,9,9,9,9,36,1,1,1,0,0,1,16,16,9.1332,10.5813,10.9287,4,72,3,0,0,1,18.9,15.75,1,18,NaN,0,3,4.725,1,0.333333333,9,4,1,1,1,1,1,4,1,0,1,63,47,72,1,15.75,11.75,18,0.5,0.5,4,18,4,4,15.75,11.75,63,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/OrientSwitch_S1W1L1_2019-4-16@1558026692483_analysis/filteredTransactionEvaluation.csv
1,PullUpMenu_S1W1L1_2019-4-16@1558026695747,1408,3.148602655,12.1628,38.5865,31.9449,26.72,39871,4.600657128,1,11,147,8,147,11,11,11,2,147,1,0.5,0,7,1,8,763,200,8,8,0,0,0,0,125,181,0,11,107,1,25,95.375,15.625,22.625,0,1.375,95.375,60,2,0,0,2,9,0,2,2,9,17.55555556,422.1111111,7410.395062,763,8,59,0,0,0,40,11,99,11,11,11,11,11,11,44,1,1,1,0,0,1,16,16,11.1628,37.5865,30.9449,8,763,192,107,107,1,60,25,0,95.375,NaN,181,8,7.5,0,0,11,8,1,1,1,1,1,8,0,181,0,200,125,763,11,25,15.625,95.375,2.75,2.75,8,95.375,8,8,25,15.625,200,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/PullUpMenu_S1W1L1_2019-4-16@1558026695747_analysis/filteredTransactionEvaluation.csv
1,rcbackground_S1W1L1_2019-4-16@1558026705258,1408,3.148602655,9.1184,9.592,10.3344,18.44,30088,4.47839332,1,8,8,2,8,8,8,8,2,8,1,0.5,0,0,2,2,125,13,2,2,0,0,0,0,0,0,0,0,0,2,6.5,62.5,0,0,0,0,62.5,3.9,8,0,0,8,8,0,8,0,8,2,5,10,125,2,17,0,0,0,24,8,41,8,8,8,8,8,8,32,1,1,1,0,0,1,16,16,8.1184,8.592,9.3344,2,125,0,0,0,1,3.9,6.5,0,62.5,NaN,0,2,1.95,0,0,8,2,1,1,1,1,1,2,0,0,0,13,0,125,0,6.5,0,62.5,0,0,2,62.5,2,2,6.5,0,13,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/rcbackground_S1W1L1_2019-4-16@1558026705258_analysis/filteredTransactionEvaluation.csv
1,RufusConnectAndroid_S1W1L1_2019-4-16@1558026707893,1408,3.148602655,7.0888,7.444,8.0008,13.96,45125,4.654417215,1,6,6,2,6,6,6,6,2,6,1,0.5,0,0,2,2,132,13,2,2,0,0,0,0,0,0,0,0,0,2,6.5,66,0,0,0,0,66,3.9,6,0,0,6,6,0,6,0,6,2,4.333333333,8.666666667,132,2,17,0,0,0,18,6,35,6,6,6,6,6,6,24,1,1,1,0,0,1,16,16,6.0888,6.444,7.0008,2,132,0,0,0,1,3.9,6.5,0,66,NaN,0,2,1.95,0,0,6,2,1,1,1,1,1,2,0,0,0,13,0,132,0,6.5,0,66,0,0,2,66,2,2,6.5,0,13,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/RufusConnectAndroid_S1W1L1_2019-4-16@1558026707893_analysis/filteredTransactionEvaluation.csv
1,RufusCuffLauncher_S1W1L1_2019-4-16@1558026710427,2816,3.44963265,62.9028,219.123,161.888,139.24,53674,4.729763962,1,61,243,10,243,61,64,61,2,243,1,0.5,1,9,0,10,1900,1620,10,7,0.6,0.428571429,6,3,1670,457,6,38,403,0,162,190,167,45.7,0.6,3.8,190,486,0,0,1,0,57,0,1,4,57,5.333333333,343.1754386,1830.269006,1900,10,69,5,0,0,213,61,287,61,61,61,61,61,61,244,1,1,1,0,0,1,16,16,61.9028,218.123,160.888,10,1900,507,403,403,1,486,162,3,190,NaN,457,7,48.6,2.4,0.428571429,61,10,1,1,1,1,1,10,6,457,6,1620,1670,1900,38,162,167,190,7.6,7.6,10,190,10,10,162,167,1620,0,0,0,0,/mnt/d/AndroidAnalysis/GatorAnalysisResults_rufus/RufusCuffLauncher_S1W1L1_2019-4-16@1558026710427_analysis/filteredTransactionEvaluation.csv
