id,operation,element
1,log,AndroidProcesses
2,<init>,AndroidAppProcess
3,<clinit>,ControlGroup$1
4,getGroup,Cgroup$1
5,<clinit>,Stat
6,<clinit>,Status$1
7,<clinit>,ProcFile
8,status,AndroidProcess
