id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,AndroidProcesses,0,0,0,0,0,0
2,ActivityProcesses,0,0,0,0,0,0
3,ContentHandler,0,0,0,0,0,0
4,AndroidAppProcess,0,0,0,0,0,0
5,DTDHandler,0,0,0,0,0,0
6,ControlGroup$1,0,0,0,0,0,0
7,Cgroup$1,0,0,0,0,0,0
8,Stat,0,0,0,0,0,0
9,Status$1,0,0,0,0,0,0
10,ProcFile,0,0,0,0,0,0
11,AndroidProcess,0,0,0,0,0,0
12,SAXNotRecognizedException,0,0,0,0,0,0
13,ErrorHandler,0,0,0,0,0,0
14,Locator,0,0,0,0,0,0
15,ServiceReader$4,0,0,0,0,0,0
16,C,0,0,0,0,0,0
17,ProcessManager,0,0,0,0,0,0
