id,element,type,outboundDegree, inboundDegree
1,Actor1,actor,2,0
2,Actor2,actor,1,0
3,b1,boundary,1,3
4,b2,boundary,1,4
5,c1,control,2,1
6,c2,control,1,2
7,c3,control,1,0
8,e1,entity,1,1
9,e2,entity,2,2
10,e3,entity,1,0
11,Actor1,actor,1,0
12,Actor2,actor,1,0
13,Object1,boundary,2,1
14,Object2,control,1,1
15,b1,boundary,1,2
16,c1,control,1,2
17,e1,entity,0,1
18,Actor1,actor,1,0
19,Actor2,actor,1,0
20,Object1,boundary,2,1
21,Object2,control,1,1
22,b1,boundary,1,2
23,c1,control,1,2
24,e1,entity,0,1
25,Business Parter,actor,4,0
26,Buy Subscription Comfirmation Page,boundary,1,2
27,Buy Subscription Page(1),boundary,1,2
28,Buy Subscription Page(1),boundary,1,1
29,Buy Success Page,boundary,1,2
30,Display Buy My Subscription Success Page,control,1,1
31,Display Home Page(Designed by other part),control,0,1
32,Display Subscription Comfirmation Page,control,1,1
33,Display Subscription Page(2),control,1,1
34,Marked as Subscirpted,control,1,1
35,Subscription,entity,1,1
36,Business Partner,actor,3,0
37,Cancel Subscription Comfirmation Page,boundary,2,2
38,Cancel Subscription Page,boundary,1,1
39,Cancel Subscription Success Page,boundary,1,2
40,Display Cancel Sub page,control,0,1
41,Display Comfirmation Page,control,1,1
42,Display Home Page,control,0,1
43,Display Success Page,control,1,1
44,Marked as Canceled,control,2,1
45,Subscription,entity,0,1
46,Business Partner,actor,1,0
47,Third Party Client,actor,1,0
48,Coupon,entity,0,2
49,Coupon Designer,boundary,5,1
50,Coupon Templates,entity,0,1
51,Edit,control,1,1
52,Error Message,boundary,0,1
53,Offers,entity,1,0
54,Retrieves,control,1,2
55,Save,control,1,1
56,Test,control,0,1
57,Upload Image,control,0,1
58,access,control,1,1
59,FTSR,actor,1,0
60,Edit Offer,control,1,1
61,Enter offer's new values,boundary,0,1
62,Invoke design coupon use case,boundary,0,1
63,Modify Offer,control,1,1
64,Modify offer page,boundary,3,1
65,Offer,entity,0,1
66,Offers Page,boundary,1,1
67,User,actor,2,0
68,Display Partner Login,control,1,0
69,Display error message,control,0,1
70,Enter username and password,control,1,1
71,Is a match found?,control,2,1
72,Partner Login,boundary,1,2
73,Partner Portal,boundary,0,2
74,Query database with username and password,control,1,1
75,System Database,entity,1,1
76,Add Server,actor,1,0
77,FTSR,actor,2,0
78,Auto publish reschedule,control,1,0
79,Check validate,control,2,1
80,Dispaly Error Msg,control,0,1
81,Display modify error,control,0,1
82,Display offer,control,2,1
83,Offers,entity,1,0
84,Publish offer,control,0,2
85,Retrieve offers,control,1,2
86,offer details,boundary,1,3
87,offers pages,boundary,1,1
88,FT,actor,3,0
89,Coupon Database,entity,0,2
90,Coupon Invalid,boundary,1,1
91,Coupon Page,boundary,2,1
92,Coupon Redeemed,boundary,1,1
93,Coupon Validator,control,1,2
94,Generate Test Coupon,control,1,1
95,Open Coupon Page,control,0,1
96,Partner's Mobile,entity,1,2
97,Redeem Coupon,control,1,1
98,Save coupon for later,control,1,1
99,Test Coupon,entity,1,0
100,User,actor,5,0
101,Cancel Button,boundary,0,2
102,Design Coupon screen,boundary,0,2
103,Display Image in Coupon Image,control,1,1
104,File Chooser Windows,control,2,1
105,Open Button,boundary,1,1
106,Select the Image file,boundary,0,2
107,Upload Image button,boundary,1,1
