id,element,useCase,type,component
1,User:check requests button,Maintain the system,boundary,requestlist
2,User:request list,Maintain the system,boundary,requestlist
3,User:request status is successfully updated.,Maintain the system,boundary,requestlist
4,update status of requests:Request,Maintain the system,boundary,requestlist
5,load requests:Request,Maintain the system,boundary,requestlist
6,check requests button:load requests,Maintain the system,boundary,requestlist
7,load requests:request list,Maintain the system,boundary,requestlist
8,request list:update status of requests,Maintain the system,boundary,requestlist
9,update status of requests:request status is successfully updated.,Maintain the system,boundary,requestlist
10,stl#User:check requests button,Maintain the system,Stimulus,undefined
11,stl#User:request list,Maintain the system,Stimulus,undefined
12,stl#User:request status is successfully updated.,Maintain the system,Stimulus,undefined
