id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,schedule,entity,0,1,Schedule player crawl,Schedule player crawl,
2,schedule success message,boundary,1,2,Schedule player crawl,Schedule player crawl,
3,add player to scheduling list,control,2,1,Schedule player crawl,Schedule player crawl,
4,all players list,boundary,1,2,Schedule player crawl,Schedule player crawl,
5,player,entity,0,2,Schedule player crawl,Schedule player crawl,
6,query crawling list of players,control,2,1,Schedule player crawl,Schedule player crawl,
7,players tab,boundary,1,1,Schedule player crawl,Schedule player crawl,
8,contractor,actor,3,0,Schedule player crawl,Schedule player crawl,
