id,element,useCase,type,outboundDegree,inboundDegree
1,undefined,Sequence Diagram1,0,undefined,undefined
2,2,Sequence Diagram1,0,undefined,undefined
3,3,Sequence Diagram1,0,undefined,undefined
4,7,Sequence Diagram1,0,undefined,undefined
5,4,Sequence Diagram1,0,undefined,undefined
6,5,Sequence Diagram1,0,undefined,undefined
7,6,Sequence Diagram1,0,undefined,undefined
8,undefined,Sequence Diagram1,0,undefined,undefined
9,undefined,Sequence Diagram1,0,undefined,undefined
10,8,Sequence Diagram1,0,undefined,undefined
11,10,Sequence Diagram1,0,undefined,undefined
12,11,Sequence Diagram1,0,undefined,undefined
13,12,Sequence Diagram1,0,undefined,undefined
14,13,Sequence Diagram1,0,undefined,undefined
15,14,Sequence Diagram1,0,undefined,undefined
16,stl#undefined,Sequence Diagram1,0,undefined,undefined
