id,attribute,type,element
1,Birthday,EAJava_String,Contacts information profile
2,Contacts address,EAJava_String,Contacts information profile
3,Contacts email,EAJava_String,Contacts information profile
4,Contacts name,EAJava_String,Contacts information profile
5,Phone,EAJava_int,Contacts information profile
6,Title,EAJava_String,Contacts information profile
7,id,EAJava_string,Contacts list file
8,undefined,EAID_E37649A0_D63E_46ac_8D76_AC4B80E909DB,Contacts list file
9,Amount,EAJava_Money,Donation information Profile
10,Date,EAJava_Date,Donation information Profile
11,Donation_ID,EAJava_int,Donation information Profile
12,Donor Name,EAJava_String,Donation information Profile
13,Status,EAJava_Status,Donation information Profile
14,Cost,EAJava_Money,Project Profile
15,Description,EAJava_String,Project Profile
16,End_Date,EAJava_Date,Project Profile
17,Manager_name,EAJava_String,Project Profile
18,project id,EAJava_int,Project Profile
19,Revenue,EAJava_Money,Project Profile
20,Start_date,EAJava_Date,Project Profile
21,undefined,EAID_8D510DFC_1F40_4af8_BF85_D8F550ADB1EE,Project Profile
22,password,EAJava_String,Staff Profile
23,Role,EAJava_Role,Staff Profile
24,User_id,EAJava_int,Staff Profile
25,backup-date,EAJava_Date,backup file
26,Description,EAJava_String,backup file
27,file_id,EAJava_String,backup file
28,undefined,EAID_E37649A0_D63E_46ac_8D76_AC4B80E909DB,backup file
29,undefined,EAID_90C7D3C3_F1A9_4eec_905E_E926C3CBF5CF,backup file
30,undefined,EAID_378AA99C_EEDF_41ec_A5C5_11053538EB16,backup file
31,Description,EAJava_String,mass mailing template
32,title,EAJava_String,mass mailing template
