NUM,UC,Tran_Num,Activity_Num,Actor_Num,Component_num,Boundary_Num,Control_Num,Entity_Num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,TRAN_NA,NT,Avg_TL,Avg_TD,Arch_Diff,SWTI,SWTII,SWTIII
1,App user login,4,15,0,12,3,8,0,0,0,0,0,1,0,0,3,1,16,12,192,10,15,13
2,Capture Frame from Video and get  LP number,10,25,0,23,5,12,0,0,0,0,0,0,0,0,10,0,0,37,0,15,21,18
3,Extract License Plat Number from Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Extract Metrics on Number of hits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Generate Usage-based bill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Independent Review of Bad Driver Report,9,24,0,20,4,12,0,0,0,0,0,0,0,0,9,0,0,23,0,20,28,20
7,Post Bad Driver Report to Insurance DB,32,26,0,23,7,10,0,0,0,1,0,1,0,1,31,1,272,39,10608,10,15,13
8,Query bad driver reporting DB,5,14,0,11,5,4,0,0,0,1,0,1,0,1,4,1,30,12,360,10,15,13
9,Recording video clips in a circular buffer,4,9,0,8,2,5,0,0,0,0,0,0,0,0,4,0,0,10,0,15,19,15
10,Recording video of bad driving event,13,17,0,14,5,7,0,0,0,1,0,1,0,1,12,1,97,19,1843,10,15,13
11,Resolve Potential Duplicates,3,10,0,8,3,4,0,0,0,0,0,0,0,0,3,0,0,9,0,15,19,15
12,Reviewer/Agent Login,5,18,0,14,4,9,0,0,0,0,0,0,0,0,5,0,0,18,0,20,28,20
13,Send Drunk Driver Alert,9,27,0,25,5,13,0,0,0,0,0,0,0,0,9,0,0,42,0,15,21,18
14,Upload video clip to bad driver recording DB,5,19,0,14,3,10,0,0,0,0,0,2,0,0,3,2,7.5,11,82.5,10,15,13
15,View video clips,4,11,0,9,2,6,0,0,0,0,0,1,0,0,3,1,19,10,190,20,22,19
