id,element,useCase,type,component
1,User:Error message,share sphere,control,Displaysuccessmessagetouser
2,User:List of usrs with specific sphere,share sphere,boundary,EditSphereView
3,User:success message,share sphere,control,Displaysuccessmessagetouser
4,User:Share button,share sphere,boundary,Sharebutton
5,Display a list of usres with a specific sphere:List of usrs with specific sphere,share sphere,boundary,EditSphereView
6,Display a list of usres with a specific sphere:Notification record,share sphere,control,AuthorizationChecker
7,Share button:Display a list of usres with a specific sphere,share sphere,boundary,EditSphereView
8,Display error message if email is not in system:Error message,share sphere,control,Displaysuccessmessagetouser
9,List of usrs with specific sphere:Display error message if email is not in system,share sphere,control,Displaysuccessmessagetouser
10,List of usrs with specific sphere:add association in db,share sphere,control,VizualizationView
11,add association in db:sends notification to second user,share sphere,control,AuthorizationChecker
12,sends notification to second user:success message,share sphere,control,Displaysuccessmessagetouser
13,stl#User:Error message,share sphere,Stimulus,undefined
14,stl#User:List of usrs with specific sphere,share sphere,Stimulus,undefined
15,stl#User:success message,share sphere,Stimulus,undefined
16,stl#User:Share button,share sphere,Stimulus,undefined
