id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Share button->User:Share button->Share button:Display a list of usres with a specific sphere->Display a list of usres with a specific sphere:Notification record,share sphere,TRAN_NA,4,5,2,3,8
2,stl#User:Share button->User:Share button->Share button:Display a list of usres with a specific sphere->Display a list of usres with a specific sphere:List of usrs with specific sphere->List of usrs with specific sphere:add association in db->add association in db:sends notification to second user->sends notification to second user:success message,share sphere,TRAN_NA,7,4,2.8333333333333335,6,19.833333333333336
3,stl#User:Share button->User:Share button->Share button:Display a list of usres with a specific sphere->Display a list of usres with a specific sphere:List of usrs with specific sphere->List of usrs with specific sphere:Display error message if email is not in system->Display error message if email is not in system:Error message,share sphere,TRAN_NA,6,4,3.8,5,22.799999999999997
4,stl#User:success message->User:success message,share sphere,CTRL,2,0,6,1,12
5,stl#User:List of usrs with specific sphere->User:List of usrs with specific sphere->List of usrs with specific sphere:add association in db->add association in db:sends notification to second user->sends notification to second user:success message,share sphere,TRAN_NA,5,0,3.25,4,16.25
6,stl#User:List of usrs with specific sphere->User:List of usrs with specific sphere->List of usrs with specific sphere:Display error message if email is not in system->Display error message if email is not in system:Error message,share sphere,TRAN_NA,4,0,5,3,20
7,stl#User:Error message->User:Error message,share sphere,CTRL,2,0,6,1,12
