id,element,attributeNum,operationNum,diagram
1,Powers,0,0,Domain Model
2,Account,0,0,Domain Model
3,Store,0,0,Domain Model
4,Restaurant,0,0,Domain Model
5,Winning 10 battles,0,0,Domain Model
6,Visit all TikiTemples,0,0,Domain Model
7,Acheivement,0,0,Domain Model
8,In-App Purchase Store,0,0,Domain Model
9,Place,0,0,Domain Model
10,Promo Offer,0,0,Domain Model
11,Volcano Park,0,0,Domain Model
12,Hawaiian God,0,0,Domain Model
13,TikiTemple,0,0,Domain Model
14,TikiShop,0,0,Domain Model
15,Battle,0,0,Domain Model
16,Territory,0,0,Domain Model
17,Level,0,0,Domain Model
18,Items,0,0,Domain Model
19,Pineapple Grenade,0,0,Domain Model
20,Coconut Cannonball,0,0,Domain Model
21,Lava Fireball,0,0,Domain Model
22,Enemy,0,0,Domain Model
23,Weapon,0,0,Domain Model
24,Avatar,0,0,Domain Model
25,Player,0,0,Domain Model
26,TikiTemple,0,0,How to get weapons and items
27,TikiShop,0,0,How to get weapons and items
28,Promo Offer,0,0,How to get weapons and items
29,In-App Purchase Store,0,0,How to get weapons and items
30,Hawaiian God,0,0,How to get weapons and items
31,Weapon,0,0,How to get weapons and items
32,Items,0,0,How to get weapons and items
33,VR Background Image,0,0,Domain Model
34,Powers,0,0,Domain Model
35,Store,0,0,Domain Model
36,Restaurant,0,0,Domain Model
37,Winning 10 battles,0,0,Domain Model
38,Visit all TikiTemples,0,0,Domain Model
39,Acheivement,4,0,Domain Model
40,In-App Purchase Store,0,0,Domain Model
41,Location,7,0,Domain Model
42,Promo Offer,1,0,Domain Model
43,Volcano Park,0,0,Domain Model
44,Hawaiian God,5,0,Domain Model
45,TikiTemple,0,0,Domain Model
46,TikiShop,0,0,Domain Model
47,Battle,7,0,Domain Model
48,Territory,3,0,Domain Model
49,Level,4,0,Domain Model
50,Items,3,0,Domain Model
51,Pineapple Grenade,0,0,Domain Model
52,Coconut Cannonball,0,0,Domain Model
53,Lava Fireball,0,0,Domain Model
54,Enemy,6,0,Domain Model
55,Weapon,0,0,Domain Model
56,Avatar,2,0,Domain Model
57,Player,9,0,Domain Model
58,TikiTemple,0,0,How to get weapons and items
59,TikiShop,0,0,How to get weapons and items
60,Promo Offer,1,0,How to get weapons and items
61,In-App Purchase Store,0,0,How to get weapons and items
62,Hawaiian God,5,0,How to get weapons and items
63,Weapon,0,0,How to get weapons and items
64,Items,3,0,How to get weapons and items
