id,attribute,type,element,diagram
1,Achievement_id,int,Acheivement,Domain Model
2,achievement_name,String,Acheivement,Domain Model
3,achievement_type,int,Acheivement,Domain Model
4,points_gained,int,Acheivement,Domain Model
5,Location_id,int,Location,Domain Model
6,location_lat,float,Location,Domain Model
7,location_lon,float,Location,Domain Model
8,location_name,String,Location,Domain Model
9,location_Type,int,Location,Domain Model
10,loction_address,String,Location,Domain Model
11,radius,int,Location,Domain Model
12,Offer_id,int,Promo Offer,Domain Model
13,avatar_id,int,Hawaiian God,Domain Model
14,God_id,int,Hawaiian God,Domain Model
15,god_name,String,Hawaiian God,Domain Model
16,Item_id,int,Hawaiian God,Domain Model
17,no_of_items_available,int,Hawaiian God,Domain Model
18,Battle_id,int,Battle,Domain Model
19,Enemy_id,int,Battle,Domain Model
20,Location_id,int,Battle,Domain Model
21,no_of_enemies_killed,int,Battle,Domain Model
22,Player_id,int,Battle,Domain Model
23,points_gained,int,Battle,Domain Model
24,winloss,boolean,Battle,Domain Model
25,Location_polygon,String,Territory,Domain Model
26,Playes_id,int,Territory,Domain Model
27,Territory_id,int,Territory,Domain Model
28,Level_id,int,Level,Domain Model
29,Perks,String,Level,Domain Model
30,points_required,int,Level,Domain Model
31,Ranking,int,Level,Domain Model
32,Item_id,int,Items,Domain Model
33,Item_name,int,Items,Domain Model
34,Item_type,int,Items,Domain Model
35,attack_radius,int,Enemy,Domain Model
36,Avatar_id,int,Enemy,Domain Model
37,Enemy_id,int,Enemy,Domain Model
38,enemy_lat,float,Enemy,Domain Model
39,enemy_lon,float,Enemy,Domain Model
40,no_of_enemies,int,Enemy,Domain Model
41,Avatar_id,int,Avatar,Domain Model
42,Avatar_image,String,Avatar,Domain Model
43,Avatar_id,int,Player,Domain Model
44,Device_id,long,Player,Domain Model
45,email,String,Player,Domain Model
46,inHawaii,boolean,Player,Domain Model
47,lat,float,Player,Domain Model
48,level,int,Player,Domain Model
49,lon,float,Player,Domain Model
50,password,String,Player,Domain Model
51,Player_id,int,Player,Domain Model
52,Offer_id,int,Promo Offer,How to get weapons and items
53,avatar_id,int,Hawaiian God,How to get weapons and items
54,God_id,int,Hawaiian God,How to get weapons and items
55,god_name,String,Hawaiian God,How to get weapons and items
56,Item_id,int,Hawaiian God,How to get weapons and items
57,no_of_items_available,int,Hawaiian God,How to get weapons and items
58,Item_id,int,Items,How to get weapons and items
59,Item_name,int,Items,How to get weapons and items
60,Item_type,int,Items,How to get weapons and items
