projecct, files, blank, comment, code
a,9,65,161,270
abc123,9,65,161,270
all-apps,65,1295,5599,11108
alltheapps,45,1234,2814,4749
apks,9,65,161,270
btchatprotobuf,67,3289,7722,28930
cuffbackgroundservice,140,4432,9651,41639
dialer,131,4769,10506,44630
incallui,124,4203,9551,42447
incomingcallscreen,28,131,238,2669
integrated-nav-bar,437,4932,9089,39871
launcher-3,397,7809,14609,53674
lockscreen,59,1886,3126,8360
musicplayer,321,5775,14071,52801
musicplayerwithlockscreencom,325,5809,14130,55574
navigationbar,31,689,2706,2572
old_dialer,296,6701,15965,58118
old_rufusconnect,29,216,371,3209
rufus_connect_ios,31,771,463,4419
rufusconnectandroid,152,4583,10120,45125
rufuscuffbackgroundservices,71,3308,17165,30088
rufuscufflauncher,317,4632,7747,16751
rufuscuffprotocolbuffers,81,3799,9162,36920
rufuslabsupdateservice,549,12651,16295,82157
rufuslocation,75,1023,637,6048
rufusmms,550,10928,23574,93669
serviceuser,68,3170,7507,28430
test_repository,9,65,161,270
testrepository,9,65,161,270
u-boot-2013.10-ti2013.12.01,6856,230751,328680,1220616
v2.0_patch_kai,9,65,161,270
weather-widget,70,996,3696,6420
