id,element,useCase,type,component
1,Administrator:Administrator's dashboard,Accept/Reject Comment,control,Administratorsdashboard
2,Administrator:submitted comments  screen,Accept/Reject Comment,control,submittedcommentsscreen
3,Administrator:Comment View,Accept/Reject Comment,control,submittedcommentsscreen
4,Administrator's dashboard:Display the submitted comments screen,Accept/Reject Comment,control,submittedcommentsscreen
5,Change the status of the task:Task,Accept/Reject Comment,control,pendthetask
6,Update acceptance status:Change the status of the task,Accept/Reject Comment,control,pendthetask
7,Comment View:Update acceptance status,Accept/Reject Comment,boundary,Updateacceptancestatus
8,Retrieve comment and user info:Comments,Accept/Reject Comment,control,submittedcommentsscreen
9,Display the submitted comments screen:Comments,Accept/Reject Comment,control,submittedcommentsscreen
10,Update acceptance status:Comments,Accept/Reject Comment,control,submittedcommentsscreen
11,Display the submitted comments screen:submitted comments  screen,Accept/Reject Comment,control,submittedcommentsscreen
12,Retrieve comment and user info:User Info,Accept/Reject Comment,control,UserInfo
13,submitted comments  screen:Retrieve comment and user info,Accept/Reject Comment,control,UserInfo
14,pend the task:Task,Accept/Reject Comment,control,pendthetask
15,Update acceptance status:pend the task,Accept/Reject Comment,control,pendthetask
16,stl#Administrator:Administrator's dashboard,Accept/Reject Comment,Stimulus,undefined
17,stl#Administrator:submitted comments  screen,Accept/Reject Comment,Stimulus,undefined
18,stl#Administrator:Comment View,Accept/Reject Comment,Stimulus,undefined
19,Administrator:approve sign up screen,Approve Signup,control,submittedcommentsscreen
20,Administrator:signup request details,Approve Signup,entity,retrieverequestdetail
21,approve sign up screen:retrieve request detail,Approve Signup,entity,retrieverequestdetail
22,approve sign up screen:retrieve signup requests,Approve Signup,entity,retrieverequestdetail
23,retrieve signup requests:approve sign up screen,Approve Signup,control,submittedcommentsscreen
24,retrieve request detail:signup request,Approve Signup,entity,retrieverequestdetail
25,retrieve request detail:signup request details,Approve Signup,entity,retrieverequestdetail
26,retrieve signup requests:signup request,Approve Signup,entity,retrieverequestdetail
27,signup request details:update user info,Approve Signup,control,UserInfo
28,update user info:user info,Approve Signup,control,UserInfo
29,stl#Administrator:approve sign up screen,Approve Signup,Stimulus,undefined
30,stl#Administrator:signup request details,Approve Signup,Stimulus,undefined
31,Actor:Project detail,Change Project,control,Queryprojectdetail
32,Actor:Selecting settings button,Change Project,boundary,Selectingsettingsbutton
33,Actor:Projects list screen,Change Project,control,Queryprojectdetail
34,Actor:dropdown settings menu,Change Project,boundary,Selectingsettingsbutton
35,Display dropdown settings menu:dropdown settings menu,Change Project,boundary,Selectingsettingsbutton
36,Selecting settings button:Display dropdown settings menu,Change Project,boundary,Selectingsettingsbutton
37,Query project detail:Project,Change Project,control,Queryprojectdetail
38,query projects:Project,Change Project,control,Queryprojectdetail
39,Query project detail:Project detail,Change Project,control,Queryprojectdetail
40,Projects list screen:Query project detail,Change Project,control,Queryprojectdetail
41,query projects:Projects list screen,Change Project,control,Queryprojectdetail
42,dropdown settings menu:query projects,Change Project,control,Queryprojectdetail
43,stl#Actor:Project detail,Change Project,Stimulus,undefined
44,stl#Actor:Selecting settings button,Change Project,Stimulus,undefined
45,stl#Actor:Projects list screen,Change Project,Stimulus,undefined
46,stl#Actor:dropdown settings menu,Change Project,Stimulus,undefined
47,Administrator:Attendee is not available,Create New Project,boundary,Attendeeisnotavailable
48,Administrator:Create a project screen,Create New Project,boundary,Project
49,Administrator:Edit default attendee list,Create New Project,boundary,Attendeeisnotavailable
50,Administrator:Project information error,Create New Project,boundary,Project
51,verify attendee information:Attendee is not available,Create New Project,boundary,Attendeeisnotavailable
52,Create a project screen:Verify project information,Create New Project,boundary,Project
53,Edit default attendee list:verify attendee information,Create New Project,control,UserInfo
54,Verify project information:Edit default attendee list,Create New Project,boundary,Attendeeisnotavailable
55,Verify project information:Project,Create New Project,boundary,Project
56,Verify project information:Project information error,Create New Project,boundary,Project
57,verify attendee information:attendee information list,Create New Project,boundary,Attendeeisnotavailable
58,stl#Administrator:Attendee is not available,Create New Project,Stimulus,undefined
59,stl#Administrator:Create a project screen,Create New Project,Stimulus,undefined
60,stl#Administrator:Edit default attendee list,Create New Project,Stimulus,undefined
61,stl#Administrator:Project information error,Create New Project,Stimulus,undefined
62,Administrator:create meeting option,Create meeting,boundary,Selectingsettingsbutton
63,Administrator:Create meeting screen,Create meeting,control,submittedcommentsscreen
64,Administrator:user already exists toasts,Create meeting,control,Administratorsdashboard
65,display the create meeting screen:Attendee Info,Create meeting,boundary,Attendeeisnotavailable
66,Create meeting screen:Verifies attendee list,Create meeting,boundary,Attendeeisnotavailable
67,display the create meeting screen:Create meeting screen,Create meeting,control,submittedcommentsscreen
68,display the create meeting screen:Tasks,Create meeting,entity,Tasks
69,Verifies attendee list:create a meeting,Create meeting,control,submittedcommentsscreen
70,Verifies attendee list:user already exists toasts,Create meeting,control,Administratorsdashboard
71,create a meeting:meeting,Create meeting,boundary,Selectingsettingsbutton
72,create meeting option:display the create meeting screen,Create meeting,control,submittedcommentsscreen
73,stl#Administrator:create meeting option,Create meeting,Stimulus,undefined
74,stl#Administrator:Create meeting screen,Create meeting,Stimulus,undefined
75,stl#Administrator:user already exists toasts,Create meeting,Stimulus,undefined
76,User:Edit Profile Page,Edit Profile,boundary,EditProfilePage
77,User:Error Information,Edit Profile,control,UserInfo
78,Edit Profile Page:verify input information,Edit Profile,control,UserInfo
79,verify input information:Error Information,Edit Profile,control,UserInfo
80,update user account information:account information,Edit Profile,control,UserInfo
