id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,Administrator:Comment View-->Comment View:Update acceptance status-->Update acceptance status:pend the task-->pend the task:Task,EQ,1,4,1,3,0,control->boundary->control->control
2,Administrator:Comment View-->Comment View:Update acceptance status-->Update acceptance status:Comments,EQ,1,3,1,2,0,control->boundary->control
3,Administrator:Comment View-->Comment View:Update acceptance status-->Update acceptance status:Change the status of the task-->Change the status of the task:Task,EQ,0,4,1,3,0,control->boundary->control->control
4,Administrator:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:User Info,EQ,0,3,0,3,0,control->control->control
5,Administrator:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:Comments,EQ,1,3,0,3,0,control->control->control
6,Administrator:Administrator's dashboard-->Administrator's dashboard:Display the submitted comments screen-->Display the submitted comments screen:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:User Info,EQ,0,5,0,5,0,control->control->control->control->control
7,Administrator:Administrator's dashboard-->Administrator's dashboard:Display the submitted comments screen-->Display the submitted comments screen:submitted comments  screen-->submitted comments  screen:Retrieve comment and user info-->Retrieve comment and user info:Comments,EQ,1,5,0,5,0,control->control->control->control->control
8,Administrator:Administrator's dashboard-->Administrator's dashboard:Display the submitted comments screen-->Display the submitted comments screen:Comments,EQ,0,3,0,3,0,control->control->control
9,Administrator:signup request details-->signup request details:update user info-->update user info:user info,EO,2,3,0,2,1,entity->control->control
10,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:signup request,EI,2,3,0,1,2,control->entity->entity
11,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:approve sign up screen-->approve sign up screen:retrieve signup requests,EQ,2,4,0,2,2,control->entity->control->entity
12,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request details-->signup request details:update user info-->update user info:user info,EQ,3,7,0,4,3,control->entity->control->entity->entity->control->control
13,Administrator:approve sign up screen-->approve sign up screen:retrieve signup requests-->retrieve signup requests:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request,EQ,1,5,0,2,3,control->entity->control->entity->entity
14,Administrator:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request details-->signup request details:update user info-->update user info:user info,EQ,2,5,0,3,2,control->entity->entity->control->control
15,Administrator:approve sign up screen-->approve sign up screen:retrieve request detail-->retrieve request detail:signup request,EI,0,3,0,1,2,control->entity->entity
16,Actor:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project detail,EI,1,5,1,4,0,boundary->control->control->control->control
17,Actor:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project,EI,1,5,1,4,0,boundary->control->control->control->control
18,Actor:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Project,EI,1,3,1,2,0,boundary->control->control
19,Actor:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project detail,EQ,0,3,0,3,0,control->control->control
20,Actor:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project,EQ,0,3,0,3,0,control->control->control
21,Actor:Selecting settings button-->Selecting settings button:Display dropdown settings menu-->Display dropdown settings menu:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project detail,EI,1,7,3,4,0,boundary->boundary->boundary->control->control->control->control
22,Actor:Selecting settings button-->Selecting settings button:Display dropdown settings menu-->Display dropdown settings menu:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Projects list screen-->Projects list screen:Query project detail-->Query project detail:Project,EI,1,7,3,4,0,boundary->boundary->boundary->control->control->control->control
23,Actor:Selecting settings button-->Selecting settings button:Display dropdown settings menu-->Display dropdown settings menu:dropdown settings menu-->dropdown settings menu:query projects-->query projects:Project,EI,1,5,3,2,0,boundary->boundary->boundary->control->control
24,Actor:Project detail,EQ,0,1,0,1,0,control
25,Administrator:Project information error,EQ,0,1,1,0,0,boundary
26,Administrator:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:attendee information list,EQ,0,3,2,1,0,boundary->control->boundary
27,Administrator:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:Attendee is not available,EQ,0,3,2,1,0,boundary->control->boundary
28,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Project information error,EQ,1,3,3,0,0,boundary->boundary->boundary
29,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Project,EQ,1,3,3,0,0,boundary->boundary->boundary
30,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:attendee information list,EQ,1,5,4,1,0,boundary->boundary->boundary->control->boundary
31,Administrator:Create a project screen-->Create a project screen:Verify project information-->Verify project information:Edit default attendee list-->Edit default attendee list:verify attendee information-->verify attendee information:Attendee is not available,EQ,1,5,4,1,0,boundary->boundary->boundary->control->boundary
32,Administrator:Attendee is not available,EQ,0,1,1,0,0,boundary
33,Administrator:user already exists toasts,EQ,0,1,0,1,0,control
34,Administrator:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:user already exists toasts,EQ,1,3,1,2,0,control->boundary->control
35,Administrator:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:create a meeting-->create a meeting:meeting,EQ,1,4,2,2,0,control->boundary->control->boundary
36,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Tasks,EI,1,3,1,1,1,boundary->control->entity
37,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:user already exists toasts,EQ,1,5,2,3,0,boundary->control->control->boundary->control
38,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Create meeting screen-->Create meeting screen:Verifies attendee list-->Verifies attendee list:create a meeting-->create a meeting:meeting,EQ,1,6,3,3,0,boundary->control->control->boundary->control->boundary
39,Administrator:create meeting option-->create meeting option:display the create meeting screen-->display the create meeting screen:Attendee Info,EQ,1,3,2,1,0,boundary->control->boundary
40,User:Error Information,EQ,0,1,0,1,0,control
41,User:Edit Profile Page-->Edit Profile Page:verify input information-->verify input information:update user account information-->update user account information:account information,EQ,0,4,2,2,0,boundary->control->boundary->control
42,User:Edit Profile Page-->Edit Profile Page:verify input information-->verify input information:Error Information,EI,0,3,1,2,0,boundary->control->control
