id,transaction,useCase,transactional,TL, DETs, TD, TC, Arch_Diff
1,stl#User:Hompage->User:Hompage,Approve Sign up,CTRL;EXTCLL;INT,2,0,3,1,6
2,stl#User:Chooses to approve signup request.->User:Chooses to approve signup request.->Chooses to approve signup request.:The requesting user can now log into the application.->The requesting user can now log into the application.:Hompage,Approve Sign up,CTRL;EXTCLL;INT,4,1,3,3,12
3,stl#User:Selects a signup request.->User:Selects a signup request.->Selects a signup request.:displays request details such as user info and account type->displays request details such as user info and account type:The requesting user can now log into the application.->The requesting user can now log into the application.:Hompage,Approve Sign up,CTRL;EXTCLL;INT,5,1,2.25,4,11.25
4,stl#User:Selects the approve signup option ->User:Selects the approve signup option ->Selects the approve signup option :displays the approve signup screen.->displays the approve signup screen.:displays request details such as user info and account type->displays request details such as user info and account type:The requesting user can now log into the application.->The requesting user can now log into the application.:Hompage,Approve Sign up,CTRL;EXTCLL;INT,6,3,2.8,5,16.799999999999997
