id,transaction,useCase,transaction_length, boundry_num, control_num, entity_num, actor_num
1,stl#Student:error message for not statistics->Student:error message for not statistics,link text to genealogy, statistics and indicate on TBM,2,1,0,0,0
2,stl#Student:video frame->Student:video frame,link text to genealogy, statistics and indicate on TBM,2,1,0,0,0
