id,element,useCase,type,component
id,element,useCase,type,component
1,User:success message,Create Activity,boundary,successmessage
2,User:Activity input page,Create Activity,boundary,Activityinputpage
3,User:activity already exists,Create Activity,boundary,Activityinputpage
4,Activity input page:add activity into db,Create Activity,boundary,Activityinputpage
5,add activity into db:activity,Create Activity,boundary,Activityinputpage
6,add activity into db:activity already exists,Create Activity,boundary,Activityinputpage
7,add activity into db:success message,Create Activity,boundary,successmessage
8,stl#User:success message,Create Activity,Stimulus,undefined
9,stl#User:Activity input page,Create Activity,Stimulus,undefined
10,stl#User:activity already exists,Create Activity,Stimulus,undefined
11,User:success message,Create STEM Project,boundary,successmessage
12,User:project description page,Create STEM Project,control,Product Configuration
13,User:project has been created message,Create STEM Project,boundary,successmessage
14,create user account:User account,Create STEM Project,entity,User Account
15,create user account:success message,Create STEM Project,boundary,successmessage
16,create user account:project has been created message,Create STEM Project,boundary,successmessage
17,project description page:create user account,Create STEM Project,entity,User Account
18,stl#User:success message,Create STEM Project,Stimulus,undefined
19,stl#User:project description page,Create STEM Project,Stimulus,undefined
20,stl#User:project has been created message,Create STEM Project,Stimulus,undefined
21,User:survey has been created message,Create Survey,boundary,successmessage
22,User:Survey detail page,Create Survey,control,Surveydb
23,User:Survey detail input page,Create Survey,control,Surveydb
24,Input survey brief info:Survey detail page,Create Survey,control,Surveydb
25,Input survey brief info:Survey db,Create Survey,control,Surveydb
26,Survey detail input page:Input survey brief info,Create Survey,control,Surveydb
27,Survey detail page:add survey detail into db,Create Survey,control,Surveydb
28,add survey detail into db:survey has been created message,Create Survey,boundary,successmessage
29,stl#User:survey has been created message,Create Survey,Stimulus,undefined
30,stl#User:Survey detail page,Create Survey,Stimulus,undefined
31,stl#User:Survey detail input page,Create Survey,Stimulus,undefined
32,User:subactivity detail input page,Create subactivity,entity,subactivitydetailinputpage
33,User:Create subactivity page,Create subactivity,entity,subactivitydetailinputpage
34,User:Successfully created message,Create subactivity,boundary,successmessage
35,Create subactivity page:add subactivity into db,Create subactivity,entity,subactivitydetailinputpage
36,Input activity into db:Successfully created message,Create subactivity,boundary,successmessage
37,Input activity into db:subactivity db,Create subactivity,entity,subactivitydetailinputpage
38,subactivity detail input page:Input activity into db,Create subactivity,entity,subactivitydetailinputpage
39,add subactivity into db:subactivity detail input page,Create subactivity,entity,subactivitydetailinputpage
40,add subactivity into db:subactivity db,Create subactivity,entity,subactivitydetailinputpage
41,stl#User:subactivity detail input page,Create subactivity,Stimulus,undefined
42,stl#User:Create subactivity page,Create subactivity,Stimulus,undefined
43,stl#User:Successfully created message,Create subactivity,Stimulus,undefined
44,User:Survey result page,Input results for survey,control,Surveydb
45,User:survey has been created message,Input results for survey,boundary,successmessage
46,User:Survey result has been created error message,Input results for survey,boundary,successmessage
47,Input survey result info:Survey db,Input results for survey,control,Surveydb
48,Input survey result info:Survey result has been created error message,Input results for survey,boundary,successmessage
49,Survey result page:Input survey result info,Input results for survey,control,Surveydb
50,Survey result has been created error message:add survey detail into db,Input results for survey,control,Surveydb
51,add survey detail into db:survey has been created message,Input results for survey,boundary,successmessage
52,stl#User:Survey result page,Input results for survey,Stimulus,undefined
53,stl#User:survey has been created message,Input results for survey,Stimulus,undefined
54,stl#User:Survey result has been created error message,Input results for survey,Stimulus,undefined
55,User:Successfully input message,Reserve Inventory,boundary,successmessage
56,User:Project info page,Reserve Inventory,control,Product Configuration
57,User:search results list,Reserve Inventory,boundary,searchresultslist
58,save project info:Project info,Reserve Inventory,control,Product Configuration
59,Project info page:save project info,Reserve Inventory,control,Product Configuration
60,save project info:Successfully input message,Reserve Inventory,boundary,successmessage
61,save project info:search results list,Reserve Inventory,boundary,searchresultslist
62,stl#User:Successfully input message,Reserve Inventory,Stimulus,undefined
63,stl#User:Project info page,Reserve Inventory,Stimulus,undefined
64,stl#User:search results list,Reserve Inventory,Stimulus,undefined
65,User:no search result is found,Search,boundary,searchresultslist
66,User:Search query input bar,Search,boundary,searchresultslist
67,User:search results list,Search,boundary,searchresultslist
68,Search query input bar:search query from db,Search,boundary,searchresultslist
69,search query from db:User account,Search,entity,User Account
70,search query from db:no search result is found,Search,boundary,searchresultslist
71,search query from db:search results list,Search,boundary,searchresultslist
72,stl#User:no search result is found,Search,Stimulus,undefined
73,stl#User:Search query input bar,Search,Stimulus,undefined
74,stl#User:search results list,Search,Stimulus,undefined
75,User:show "successfully input" message,Sign in sheet,boundary,successmessage
76,User:search results list,Sign in sheet,boundary,searchresultslist
77,User:Student info page,Sign in sheet,entity,Studentinfopage
78,Student info page:save student info,Sign in sheet,entity,Studentinfopage
79,save student info:show "successfully input" message,Sign in sheet,boundary,successmessage
80,save student info:student info,Sign in sheet,entity,Studentinfopage
81,save student info:search results list,Sign in sheet,boundary,searchresultslist
82,stl#User:show "successfully input" message,Sign in sheet,Stimulus,undefined
83,stl#User:search results list,Sign in sheet,Stimulus,undefined
84,stl#User:Student info page,Sign in sheet,Stimulus,undefined
