id,element,useCase,type,component
1,User:meeting view,View meeting,control,Meeting
2,User:view meeting option,View meeting,control,Meeting
3,User:list with no meetings,View meeting,control,Meeting
4,Query meetings by user:list with no meetings,View meeting,control,Meeting
5,Query meetings by user:meeting,View meeting,control,Meeting
6,Query meetings by user:meeting view,View meeting,control,Meeting
7,view meeting option:Query meetings by user,View meeting,control,Meeting
8,stl#User:meeting view,View meeting,Stimulus,undefined
9,stl#User:view meeting option,View meeting,Stimulus,undefined
10,stl#User:list with no meetings,View meeting,Stimulus,undefined
