d,path,useCase,transactional,tran_length,total_degree, TL, DETs, TD, arch_diff
1,stl#User:user profile page->User:user profile page,Create a new account,CTRL,2,15,2,4,15,30
2,stl#User:user profile page->User:user profile page,Create a new account,EXTCLL,2,15,2,8,15,30
3,stl#User:user profile page->User:user profile page,Create a new account,INT,2,15,2,9,15,30
4,stl#User:invalid input information->User:invalid input information,Create a new account,CTRL,2,15,2,5,15,30
5,stl#User:invalid input information->User:invalid input information,Create a new account,EXTCLL,2,15,2,5,15,30
6,stl#User:invalid input information->User:invalid input information,Create a new account,INT,2,15,2,8,15,30
7,stl#User:Account create page->User:Account create page->Account create page:validate input information->validate input information:save user account->save user account:user profile page,Create a new account,TRAN_NA,5,3.75,5,2,3.75,18.75
8,stl#User:Account create page->User:Account create page->Account create page:validate input information->validate input information:save user account->save user account:account,Create a new account,TRAN_NA,5,3.75,5,4,3.75,18.75
9,stl#User:Account create page->User:Account create page->Account create page:validate input information->validate input information:invalid input information,Create a new account,TRAN_NA,4,5,4,6,5,20
1,stl#User:invalid email address message->User:invalid email address message,Email subscription,CTRL,2,15,2,2,15,30
2,stl#User:invalid email address message->User:invalid email address message,Email subscription,EXTCLL,2,15,2,21,15,30
3,stl#User:invalid email address message->User:invalid email address message,Email subscription,INT,2,15,2,11,15,30
4,stl#User:subscribe for notification button->User:subscribe for notification button->subscribe for notification button:save preferences for subscription->save preferences for subscription:saved unsuccessfully message,Email subscription,TRAN_NA,4,5,4,6,5,20
5,stl#User:subscribe for notification button->User:subscribe for notification button->subscribe for notification button:save preferences for subscription->save preferences for subscription:invalid email address message,Email subscription,TRAN_NA,4,5,4,6,5,20
6,stl#User:subscribe for notification button->User:subscribe for notification button->subscribe for notification button:save preferences for subscription->save preferences for subscription:account,Email subscription,TRAN_NA,4,5,4,13,5,20
7,stl#User:saved unsuccessfully message->User:saved unsuccessfully message,Email subscription,CTRL,2,15,2,6,15,30
8,stl#User:saved unsuccessfully message->User:saved unsuccessfully message,Email subscription,EXTCLL,2,15,2,16,15,30
